product_name,original_data_column_1,original_data_column_2,supplier_article_number,ean,article_number,product_description,supplier,supplier_url,product_image_url,manufacturer,original_data_column_3
CLEAN and CLEVER SMART Geschirrspültabs SMA 35,reinigungschemie/küchen--und-geschirrreinigung/maschinelles-spülen/spültabs,SMA35 Geschirrspültabs,2232080,4024009004698,001-022-239-01,"umweltfreundliche, mit Ökolabel ausgezeichnete Spültabs,
sorgen für perfekte Sauberkeit und streifenfreien Glanz,
für die gründliche Reinigung auch bei hartnäckigen Tee-,
Stärke- und Eiweißverschmutzungen, integrierter Kalkstopper
verhindert zuverlässig Kalkablagerungen, phosphat- und
chorfrei, zum Einsatz in Haushaltsspülmaschinen, Öko-Label
EU Ecolabel (Euro-Blume), 1 Packung à 50 x 18 g, (Krt à 5
Pac).",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-geschirrspueltabs-sma-35-sma35-geschirrspueltabs/a7pRpxXdena9MNtG69GrxT,https://media.igefa.de/files/images_idealclean/2232080.jpg,CLEAN and CLEVER SMART,
CLEAN and CLEVER PROFESSIONAL Parkettpflege PRO 9,reinigungschemie/bodenreinigung/reiniger-für-spezialbeläge/holzpflege/--reiniger,PRO9 Parkettpflege 1l (12),2173595,4024009033865,1054101,"Clean and Clever Parkettpflege PRO 9 ist aufgrund der guten gleithemmenden Eigenschaften besonders ideal für Schulen, Sporthallen, Kindergärten und Altenheime (gemäß DIN 18032/2 geeignet. Für alle versiegelten Holz- und Parkettböden, behandelte
Korkböden sowie als Wischpflege für öl-/wachsgrundierte Holz- und Parkettböden.",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-parkettpflege-pro-9-pro9-parkettpflege-1l-12/KUjs2VWoZVGwcUX5toGUZE,https://media.igefa.de/files/images_idealclean/2173595.jpg,CLEAN and CLEVER PROFESSIONAL,"selbstglänzend; tritt- & begehsicher; maschinell polierbar; wirkt wasserabweisend; schütz, pflegt & reinigt in einem Arbeitsgang"
CLEAN and CLEVER SMART Beckensteine SMA 75,reinigungschemie/sanitärraumreinigung/spezialprodukte/beckensteine/wc-einhänger,SMA75 Beckensteine 1kg (12),2165420,4024009035302,90770326,,igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-beckensteine-sma-75-sma75-beckensteine-1kg-12/8on9FEqyjitgNWkB8mWyvF,https://media.igefa.de/files/images_idealclean/2165420.jpg,,wirken selbsttätig; verbreiten lang anhaltenden Frischeduft; zur Luftverbesserung in Toilettenräumen; verhindern Kalk- & Urinsteinablagerungen
CLEAN and CLEVER PROFESSIONAL Flächendesinfektion PRO 138,reinigungschemie/desinfektion/flächendesinfektion/flächendesinfektion,"gebrauchsfertig, VAH-/IHO-gel.",2182899,4024009034145,1004713426370,"Zuverlässige Desinfektion für alkoholempfindliche, wasserbeständige Oberflächen in industriellen und öffentlichen Bereichen sowie insbesondere für den Einsatz auf Kunststoff oder Acrylglas z. B. in Solarien und Fitnessstudios.
Empfohlen auch für alkoholsensible Bereiche wie KITAs, Schulen, Psychiatrische Einrichtungen, JVAs etc.",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-flaechendesinfektion-pro-138-gebrauchsfertig-vah-iho-gel/u6NyiYwVyr6opRqipkUZ3f,https://media.igefa.de/files/images_idealclean/2182899.jpg,CLEAN and CLEVER PROFESSIONAL,"kennzeichnungsfrei; schnelle Wirksamkeit; ohne Duft- & Farbstoffe; ausgezeichnete Materialverträglichkeit; hochwirksam gegen Bakterien, Hefen & behüllte Viren"
CLEAN and CLEVER SMART Weichspüler SMA 40,reinigungschemie/textilreinigung/waschhilfsmittel/weichspüler,SMA40 Weichspüler 10l,2173592,4024009032745,750001014,"spült Wäsche angenehm flauschig und weich, verleiht einen
angenehmen Griff, reduziert die elektrostatische Aufladung
von Textilien wie Synthetik (insbesondere beim Einsatz in
Wäschetrocknern), verhindert das Knittern und erleichtert
das Bügeln, Wiederbenetzbarkeit der Wäsche wird deutlich
verbessert, für die Wäschepflege aller waschbaren Textilien
in Wäschereien, Gastronomie, Hotellerie und Gewerbe,
geeignet für alle Waschverfahren und Wasserhärtebereiche,
Duft fresh, 1 Kanister à 10 Ltr.",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-weichspueler-sma-40-sma40-weichspueler-10l/gmQvVPm5KnTpyHTzbzgMm7,https://media.igefa.de/files/images_idealclean/2173592.jpg,CLEAN and CLEVER SMART,
CLEAN and CLEVER PROFESSIONAL Geruch-Ex Toilette Langzeit PRO 52-2,reinigungschemie/luftverbesserung/luftverbesserer/luftverbesserer,"Paradise,gegen Toilettengeruch",2182601,4024009033933,0040,"gebrauchsfertiger Geruchsneutralisierer für Sanitärbereiche,
wirkt schnell und langanhaltend gegen unangenehme
Toilettengerüche, spendet einen angenehmen Frischeduft,
schafft eine freundliche und wohlduftende Raumatmosphäre,
hinterlässt keine Flecken, Duft Paradise, 1 Flasche à 750
ml, (Krt à 12 Fla).",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-geruch-ex-toilette-langzeit-pro-52-2-paradise-gegen-toilettengeruch/oHchtQwfw3DwwAu79BAncW,https://media.igefa.de/files/images_idealclean/2182601.jpg,CLEAN and CLEVER PROFESSIONAL,
CLEAN and CLEVER SMART Neutralreiniger SMA 3,reinigungschemie/oberflächenreinigung/neutralreiniger/neutralreiniger,SMA3 Neutralreiniger 1l (12),2173593,4024009035166,750000974,"Reinigungskonzentrat, reinigt und trocknet rückstandsfrei,
mit hervorragender Reinigungsleistung insbesondere bei Öl-
und Fettverschmutzungen, besitzt gute Netzungseigenschaften,
materialschonend, mit angenehmem Frischeduft, zur
täglichen Unterhaltsreinigung aller wasserbeständigen und
empfindlichen Materialien, Oberflächen und glänzenden
Bodenbeläge, z. B. Kunststoff, PVC, Keramik, versiegeltes
Holz, Laminat, Kunst- und Naturstein, 1 Flasche à 1 Ltr,
(Krt à 12 Fla).",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-neutralreiniger-sma-3-sma3-neutralreiniger-1l-12/4t5PudeCmunAzhG2EgDUGL,https://media.igefa.de/files/images_idealclean/2173593.jpg,CLEAN and CLEVER SMART,
"CLEAN and CLEVER PROFESSIONAL Grill-, Backofen- und Konvektomatenreiniger PRO 132",reinigungschemie/küchen--und-geschirrreinigung/gerätereiniger/backofen-/-grill-und-konvektomatenreiniger,PRO132 Grill-/Backofen- 2x1l,2202350,4024009000430,1000940734053,"hochalkalischer Reiniger stark verschmutzter Geräte in
Küchen und Lebensmittel verarbeitenden Betrieben, entfernt
kraftvoll angebrannte sowie verharzte Back-, Brat- und
Grillrückstände, Rauchteer etc. gut materialverträglich mit
Edelstahl, Kunststoff, Stein und Porzellan, leicht
abspülbar (gemäß LMBG), schaumaktiv, für den Einsatz in
Gastronomie, Hotellerie, Stationsküchen in Krankenhäusern
sowie Heimen uvm. empfohlen, zur Reinigung von Grill- und
Backöfen, Konvektomaten, Fahrwagen, Backblechen,
Transportbändern, Arbeitsgeräten, Maschinen, Behältern und
Böden, 1 Karton à 2 x 1 Ltr.",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-grill-backofen-und-konvektomatenreiniger-pro-132-pro132-grill-backofen-2x1l/EPNRwzgDhZ24FbrKtEmju4,https://media.igefa.de/files/images_idealclean/2202350.jpg,,
CLEAN and CLEVER SMART Handspülmittel SMA 11,reinigungschemie/küchen--und-geschirrreinigung/manuelles-spülen/handspülmittel,SMA11 Handspülmittel 1l (12),2173590,4024009032714,750001036,"handmildes und vielseitig anwendbares Geschirrspülmittel,
zur manuellen Reinigung von Geschirr, Gläsern, Besteck
u.v.m. auch für die Reinigung aller wasserbeständigen
Oberflächen und Gegenstände im Küchenbereich einsetzbar,
sehr gute Reinigungsleistung, mit angenehmem Citrusduft,
trocknet streifenfrei und glänzend ab, 1 Flasche à 1 Ltr,
(Krt à 12 Fla).",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-handspuelmittel-sma-11-sma11-handspuelmittel-1l-12/rZufMcmN9g8aZq8z7ZFyAB,https://media.igefa.de/files/images_idealclean/2173590.jpg,CLEAN and CLEVER SMART,
CLEAN and CLEVER SMART Handspülmittel SMA 11,reinigungschemie/küchen--und-geschirrreinigung/manuelles-spülen/handspülmittel,SMA11 Handspülmittel 10l,2173591,4024009032738,750001037,"handmildes und vielseitig anwendbares Geschirrspülmittel,
zur manuellen Reinigung von Geschirr, Gläsern, Besteck
u.v.m. auch für die Reinigung aller wasserbeständigen
Oberflächen und Gegenstände im Küchenbereich einsetzbar,
sehr gute Reinigungsleistung, mit angenehmem Citrusduft,
trocknet streifenfrei und glänzend ab, 1 Kanister à 10 Ltr.",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-handspuelmittel-sma-11-sma11-handspuelmittel-10l/tErDoLM3hHrWsdrfB5ks3n,https://media.igefa.de/files/images_idealclean/2173591.jpg,CLEAN and CLEVER SMART,
