product_name,original_data_column_1,original_data_column_2,supplier_article_number,ean,article_number,product_description,supplier,supplier_url,product_image_url,manufacturer,original_data_column_3
Sicherheits- / Rettungstuch,"arbeitssicherheit-/-unfallschutz/arbeitssicherheit-/-unfallschutz/erste-hilfe/erste-hilfe-rettungsdecke,--trage-und--gurt",Sicherheits-/Räumungstragetuch,2093511,7110932649826,0930 032,"id-MED Sicherheits- und Räumungstuch, funktionsfähig mit
allen Bettenmodellen, funktionsfähig mit allen vorhandenen
Pflegematratzen, sichere Bedienung durch eine Person, keine
Beeinträchtigung der Funktionen durch vorhandene A-D
Auflagen, funktioniert mit einteiligen und dreiteiligen
Matratzensystemen, gleitfähig auf allen festen Unterlagen
und trockenen bzw. nassen Böden, sichere Fixierung des
Patienten, nahtlos einfügbar in Ihr betriebliches Konzept,
für eine schnelle Evakuierung von Patienten und / oder
Heimbewohnern, vor allem bei pflegeintensiven bzw.
bettlägerigen / nicht gehfähigen Personen geignet,
belastbar bis 200 kg, flammsicheres Material nach DIN EU
4102 B1, waschbar bis 80° C und desinfizierbar, Breite 85
cm, Länge 195 cm, Material 100 % Polyamid, Öko-Label OEKO-
TEX® STANDARD 100, 1 Stück, (Krt à 45 Stk).",igefa Handelsgesellschaft,https://store.igefa.de/p/sicherheits-rettungstuch-sicherheits-raeumungstragetuch/yk3GqKeV7x4tj2BrR3ynbH,https://media.igefa.de/files/images_idealclean/2093511.jpg,Diverse Hersteller,
Combibox Duo,arbeitssicherheit-/-unfallschutz/arbeitssicherheit-/-unfallschutz/erste-hilfe/erste-hilfe-augenspülung,und pH neutral Duo 500ml+500ml,2162673,5715205486218,4862,"Augenspüllösung bei Fremdkörpern und Verätzungsgefahr
(steril), Duo Ausführung ist ein Augenaufsatz zum
gleichzeitigen Spülen beider Augen, zur Anwendung als Erste-
Hilfe Maßnahme für die Spülung der Augen vorgesehen, mit
einer ergonomisch geformten Augenschale ausgestattet und
ermöglicht einen gleichmäßigen und weichen Sprühstrahl,
Flasche soll beim Spülvorgang leicht zusammendrücken, zum
Entfernen bzw. Herausspülen von Fremdkörpern bei
mechanischen Verletzungen, verursacht z.Bsp. durch Metall-
und Holzsplitter, Schmutz, Staub, sowie auch Chemikalien
(z. B Öle und Lösemittel) wird 0,9 % Natriumchloridlösung
eingesetzt, bei Verätzungsgefahr durch Säuren und Alkali
wird sterile Phosphatpufferlösung 4,9 % eingesetzt, schnell
und leicht mit nur zwei Handgriffen zu verwenden und
dadurch auch ohnefremde Hilfe von dem Verletzten selbst zu
bedienen, 1 Stück.",igefa Handelsgesellschaft,https://store.igefa.de/p/combibox-duo-und-ph-neutral-duo-500ml-500ml/iFEmAbCydjkCoewKESgnTc,https://media.igefa.de/files/images_idealclean/2162673.jpg,Plum,
Augenspülstation DUO in Wandbox,arbeitssicherheit-/-unfallschutz/arbeitssicherheit-/-unfallschutz/erste-hilfe/erste-hilfe-augenspülung,Plum Augen-Notfallstation Duo in Wandbox + Spiegel 2x1l,2126111,5715205481619,4816,"Wandstation, besonders für den Einsatz an Arbeitsplätzen
geeignet, wo Fremdkörper in das Auge gelangen können, die
Flaschen werden sicher vor Staub und Schmutz geschützt,
Spülzeit ca. 10 Minuten je Auge, besteht aus 2 x 1000 ml
Augenspülflasche DUO, 1 x staubgeschützte Wandbox,
inclusive Befestigungsmaterial und Spiegel, 1 Stück.",igefa Handelsgesellschaft,https://store.igefa.de/p/augenspuelstation-duo-in-wandbox-plum-augen-notfallstation-duo-in-wandbox-spiegel-2x1l/2dHp4uaNL44P97tYRgJn85,https://media.igefa.de/files/images_idealclean/2126111.jpg,Plum,
"Augenspülflasche Duo (0,9% Natriumchloridlösung)",arbeitssicherheit-/-unfallschutz/arbeitssicherheit-/-unfallschutz/erste-hilfe/erste-hilfe-augenspülung,Duo-Flasche DIN EN 15154-4,2097491,5715205480025,4800,"Augenspüllösung bei Fremdkörpern (steril), gebrauchsfertig,
Spüllösung zum Ausspülen von Fremdkörpern (z. B. Schmutz,
Staub, Metall- und Holzsplitter), enhalten sterile
Natriumchloridlösung (0,9%), die dem natürlichen Salzgehalt
des Auges entsprechen, für den Einzeleinsatz und für die
Nachfüllung der Plum Augenspülstationen auch Duo geeignet,
sowohl für den mobilen Einsatz (z. B. im Auto, Tragen am
Körper) und auch für Erste-Hilfe Kästen, mit einer
ergonomisch geformten Augenschale ausgestattet, Flaschen
gemäß DIN EN15154-4, Haltbarkeit drei Jahre, Spülzeit 1000
ml Flasche ca. 5 Minuten / 500 ml Flasche ca. 2 Minuten, 1
Flasche à 1 Ltr, (Krt à 6 Fla).",igefa Handelsgesellschaft,https://store.igefa.de/p/augenspuelflasche-duo-0-9-natriumchloridloesung-duo-flasche-din-en-15154-4/9UXyg9iHzzKnvnAMNfNXQE,https://media.igefa.de/files/images_idealclean/2097491.jpg,Plum,
Augen-Notfallstation DUO mit 2 Flaschen,arbeitssicherheit-/-unfallschutz/arbeitssicherheit-/-unfallschutz/erste-hilfe/erste-hilfe-augenspülung,Anleitungstafel+Spiegel,2126110,5715205480315,4803,"offene Wandstation, die Flaschen sind mit einem
Augenaufsatz zum gleichzeitigen Spülen beider Augen
ausgestattet, Spülzeit ca. 7 Minuten je Auge, besteht aus 1
x 500 ml Augenspülflasche pH neutral DUO (4,9 %
Phosphatpufferlösung), 1 x 1,0 l Augenspüllösung DUO (0,9 %
Natriumchloridlösung), inclusive Piktogramm und Spiegel, 1
Stück.",igefa Handelsgesellschaft,https://store.igefa.de/p/augen-notfallstation-duo-mit-2-flaschen-anleitungstafel-spiegel/soUmG2Mn3s2Yh9wPYNZPLD,https://media.igefa.de/files/images_idealclean/2126110.jpg,Plum,
QuickFix Aloe Vera,arbeitssicherheit-/-unfallschutz/arbeitssicherheit-/-unfallschutz/erste-hilfe/erste-hilfe-nachfüll--und-erweiterungsset,Pflaster-Nachfüllpack,2180596,5715205551428,5514,"Pflaster-Nachfüllpack, durch die feuchtigkeitsspendende und
beruhigende Wirkung der Wundauflage wird der
Heilungsprozess begünstigt, hautfreundliche und
atmungsaktive Pflaster, die sich den Bewegungen der Haut
anpassen, jedes Pflaster ist hygienisch einzeln verpackt
und entpackt sich beim Herausziehen bereits auf einer Seite
von selbst, das Pflaster kann mit einer Hand auf die Wunde
aufgetragen werden, Pflaster sind CE-gekennzeichnet, 1
Packung à 45 Stk, (Krt à 8 x 6 Pac).",igefa Handelsgesellschaft,https://store.igefa.de/p/quickfix-aloe-vera-pflaster-nachfuellpack/riru2oZAkxWFjagVJAWHM4,https://media.igefa.de/files/images_idealclean/2180596.jpg,Plum,
QuickFix Alu,arbeitssicherheit-/-unfallschutz/arbeitssicherheit-/-unfallschutz/erste-hilfe/erste-hilfe-nachfüll--und-erweiterungsset,Pflaster-Nachfüllpack,2180597,5715205551527,5515,"Pflaster-Nachfüllpack, die mikronisierende Aluminium
Wundauflage haftet nicht auf der Wunde und ist angenehm und
luftdurchlässig auf der Haut, hautfreundliche und
atmungsaktive Pflaster, die sich den Bewegungen der Haut
anpassen, jedes Pflaster ist hygienisch einzeln verpackt
und entpackt sich beim Herausziehen bereits auf einer Seite
von selbst, das Pflaster kann mit einer Hand auf die Wunde
aufgetragen werden, Pflaster sind CE-gekennzeichnet, 1
Packung à 45 Stk, (Krt à 8 x 6 Pac).",igefa Handelsgesellschaft,https://store.igefa.de/p/quickfix-alu-pflaster-nachfuellpack/xFQ7GkouesANN66DfcoM67,https://media.igefa.de/files/images_idealclean/2180597.jpg,Plum,
QuickFix UNO Pflasterspender mit Füllung,arbeitssicherheit-/-unfallschutz/arbeitssicherheit-/-unfallschutz/erste-hilfe/erste-hilfe-verbandsmaterial,Weiß,2144354,5715205553224,5532,"formschön, Pflaster entpacken sich beim Herausziehen aus
dem Spender von selbst und können sofort auf die Wunde
aufgetragen werden, wahlweise kann der Spender geschraubt
oder mit den beiliegenden Klebestreifen befestigt werden,
enthält 1 x 45 Pflasterstrips elastic, Abmessung 35 x 130 x
85 mm, Farbe weiß, 1 Stück, (Krt à 10 Stk).",igefa Handelsgesellschaft,https://store.igefa.de/p/quickfix-uno-pflasterspender-mit-fuellung-weiss/c8aNLWxZwNsGaJydyJP8Am,https://media.igefa.de/files/images_idealclean/2144354.jpg,Plum,
QuickFix Pflasterspendersystem,arbeitssicherheit-/-unfallschutz/arbeitssicherheit-/-unfallschutz/erste-hilfe/erste-hilfe-verbandsmaterial,Plum QuickFix Aloe Vera (10),2180594,5715205550629,5506,"Pflaster entpacken sich beim Herausziehen aus dem Spender
von selbst, einfache und leichte Anwendung mit einer Hand,
hoher Hygienestandard durch vollständig und einzeln
verpackte Pflasterstrips, flexibel durch Befüllung mit
verschiedenen Pflastertypen, breiter Anwendungsbereich für
nahezu jeden Arbeitsplatz, stoppt den Pflasterdiebstahl -
dadurch weniger Verbrauch und Kosten, Nachfüllpack: Art.Nr.
8013903 (wasserfeste Plaster), Art.Nr. 8012987 (elastische
Pflaster), Art.Nr. 2062101 (detectable Pflaster), inkl. 2
Nachfüllpacks mit jeweils 45 Pflastern, Abmessung 30 x 230
x 135 mm, mit 90 Aloe Vera Pflastern, 1 Stück, (Krt à 10
Stk).",igefa Handelsgesellschaft,https://store.igefa.de/p/quickfix-pflasterspendersystem-plum-quickfix-aloe-vera-10/o8Ywfy7m6GP3s6SYPJwP,https://media.igefa.de/files/images_idealclean/2180594.jpg,Plum,
QuickFix Blood Stopper,arbeitssicherheit-/-unfallschutz/arbeitssicherheit-/-unfallschutz/erste-hilfe/erste-hilfe-nachfüll--und-erweiterungsset,Pflaster-Nachfüllpack,2180598,5715205551626,5516,"Pflaster-Nachfüllpack, durch das Gel, das durch die
Alginatfasern in der Wundauflage entsteht, wird die Blutung
innerhalb kürzester Zeit gestoppt, hautfreundliche und
atmungsaktive Pflaster, die sich den Bewegungen der Haut
anpassen, jedes Pflaster ist hygienisch einzeln verpackt
und entpackt sich beim Herausziehen bereits auf einer Seite
von selbst, das Pflaster kann mit einer Hand auf die Wunde
aufgetragen werden, Pflaster sind CE-gekennzeichnet, 1
Packung à 45 Stk, (Krt à 8 x 6 Pac).",igefa Handelsgesellschaft,https://store.igefa.de/p/quickfix-blood-stopper-pflaster-nachfuellpack/67nWjoifE9jkY9kT9LAdj5,https://media.igefa.de/files/images_idealclean/2180598.jpg,Plum,
