product_name,original_data_column_1,original_data_column_2,supplier_article_number,ean,article_number,product_description,supplier,supplier_url,product_image_url,manufacturer,original_data_column_3
CLEAN and CLEVER PROFESSIONAL Abfallsack mit Zugband PRO 181,entsorgung/müllbeutel/-abfallsäcke/abfallsäcke-über-70-l-bis-100-l/abfallsäcke-über-70-l-bis-100-l,LDPE blau recycelt 25Stk (10),2201080,4024009034237,2201080,"überzeugend in Qualität und Nachhaltigkeit, 100% recycelt
(LDPE), besonders stabil, elastisch und reißfest,
perforiert, Zugband zum hygienischen Verschließen,
mit
Interleaved-Wicklung, Abmessung 575 + 50 x 1000 mm, Farbe
blau, Material LDPE, Öko-Label Blauer Engel, Recycling-
Anteil 100 %, Volumen 70 l, 1 Rolle à 25 Stk, (Krt à 10
Rll).",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-abfallsack-mit-zugband-pro-181-ldpe-blau-recycelt-25stk-10/DFDhsVB7qVGfwT8MojNsC3,https://media.igefa.de/files/images_idealclean/2201080.jpg,CLEAN and CLEVER PROFESSIONAL,
CLEAN and CLEVER PROFESSIONAL Abfallsack PRO 189,entsorgung/müllbeutel/-abfallsäcke/abfallsäcke-über-70-l-bis-100-l/abfallsäcke-über-70-l-bis-100-l,LDPE 100% recycelt 25Stk (10),2201081,4024009034251,2201081,"überzeugend in Qualität und Nachhaltigkeit, 100% recycelt
(LDPE), besonders stabil, elastisch und reißfest,
perforiert, Breite 575 mm, Farbe blau, Länge 1000 mm,
Material LDPE, Öko-Label Blauer Engel, Recycling-Anteil 100
%, Volumen 70 l, 1 Rolle à 25 Stk, Krt à 10 Rll.",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-abfallsack-pro-189-ldpe-100-recycelt-25stk-10/iw9UaYwGs8bsAeG4N5NYhE,https://media.igefa.de/files/images_idealclean/2201081.jpg,CLEAN and CLEVER PROFESSIONAL,
CLEAN and CLEVER PROFESSIONAL Müllbeutel PRO 74,entsorgung/müllbeutel/-abfallsäcke/müllbeutel-bis-70-l/müllbeutel-bis-70-l,30 l 500 mm x 600 mm,2149401,4024009028069,35217,"aus spezieller Hochdruck-Folie (LDPE), gewährleistet eine
sehr gute Durchstoß- und Reißfestigkeit im Vergleich zu
herkömmlichen LDPE-Folien, mit Sternnaht, perforiert,
Einsatz in Gebäudereinigung, Gesundheitswesen, Hotellerie
und Gastronomie sowie Industrie und Verwaltung, Breite 500
mm, Farbe schwarz, Länge 600 mm, Material LDPE-Spezialfolie,
Volumen 30 l, 1 Rolle à 50 Stk, (Krt à 25 Rll).",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-muellbeutel-pro-74-30-l-500-mm-x-600-mm/RkqzsVZDy6yDN6aqEHMzPR,https://media.igefa.de/files/images_idealclean/2149401.jpg,CLEAN and CLEVER PROFESSIONAL,
CLEAN and CLEVER PROFESSIONAL Abfallsack PRO 183,entsorgung/müllbeutel/-abfallsäcke/abfallsäcke-über-100-l/abfallsäcke-über-100-l,LDPE 100% recycelt 25Stk (10),2201084,4024009034312,2201084,"überzeugend in Qualität und Nachhaltigkeit, 100% recycelt
(LDPE), besonders stabil, elastisch und reißfest,
perforiert, Breite 700 mm, Farbe klar / transparent, Länge
1100 mm, Material LDPE, Öko-Label Blauer Engel, Recycling-
Anteil 100 %, Volumen 120 l, 1 Rolle à 25 Stk, Krt à 10 Rll.",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-abfallsack-pro-183-ldpe-100-recycelt-25stk-10/DLjUniuYuoVVb4NYvDvhXk,https://media.igefa.de/files/images_idealclean/2201084.jpg,CLEAN and CLEVER PROFESSIONAL,
CLEAN and CLEVER SMART Abfallsack SMA 182,entsorgung/müllbeutel/-abfallsäcke/abfallsäcke-über-100-l/abfallsäcke-über-100-l,LDPE 100% recycelt 25Stk (10),2201086,4024009035265,2201086,"überzeugend in Funktionalität und Nachhaltigkeit, 100%
recycelt (LDPE), stabil und zuverlässig, perforiert, Breite
700 mm, Farbe blau, Länge 1100 mm, Material LDPE, Öko-Label
Blauer Engel, Recycling-Anteil 100 %, Volumen 120 l, 1
Rolle à 25 Stk, Krt à 10 Rll.",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-abfallsack-sma-182-ldpe-100-recycelt-25stk-10/Yhw2t234H7vcLBAUH74ekf,https://media.igefa.de/files/images_idealclean/2201086.jpg,CLEAN and CLEVER SMART,
CLEAN and CLEVER PROFESSIONAL Abfallsack PRO 182,entsorgung/müllbeutel/-abfallsäcke/abfallsäcke-über-100-l/abfallsäcke-über-100-l,LDPE 100% recycelt 25Stk (10),2201083,4024009034299,2201083,"überzeugend in Qualität und Nachhaltigkeit, 100% recycelt
(LDPE), besonders stabil, elastisch und reißfest,
perforiert, Breite 700 mm, Farbe blau, Länge 1100 mm,
Material LDPE, Öko-Label Blauer Engel, Recycling-Anteil 100
%, Volumen 120 l, 1 Rolle à 25 Stk, Krt à 10 Rll.",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-abfallsack-pro-182-ldpe-100-recycelt-25stk-10/p3v4jHNtd3p4keYSPUjovm,https://media.igefa.de/files/images_idealclean/2201083.jpg,CLEAN and CLEVER PROFESSIONAL,
CLEAN and CLEVER SMART Abfallsack SMA 189,entsorgung/müllbeutel/-abfallsäcke/abfallsäcke-über-70-l-bis-100-l/abfallsäcke-über-70-l-bis-100-l,LDPE 100% recycelt 25Stk (10),2201085,4024009035241,2201085,"überzeugend in Funktionalität und Nachhaltigkeit, 100%
recycelt (LDPE), stabil und zuverlässig, perforiert, Breite
575 mm, Farbe blau, Länge 1000 mm, Material LDPE, Öko-Label
Blauer Engel, Recycling-Anteil 100 %, Volumen 70 l, 1 Rolle
à 25 Stk, (Krt à 10 Rll).",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-abfallsack-sma-189-ldpe-100-recycelt-25stk-10/5CLvf4qvBKvGztF4FVoMKZ,https://media.igefa.de/files/images_idealclean/2201085.jpg,CLEAN and CLEVER SMART,
CLEAN and CLEVER PROFESSIONAL Abfallsack mit Zugband PRO 180,entsorgung/müllbeutel/-abfallsäcke/abfallsäcke-über-100-l/abfallsäcke-über-100-l,LDPE 100% recyc.25Stk(8) blau,2201082,4024009034275,2201082,"überzeugend in Qualität und Nachhaltigkeit, 100% recycelt
(LDPE), besonders stabil, elastisch und reißfest,
perforiert, Zugband zum hygienischen Verschließen, mit
Interleaved-Wicklung, Abmessung 700 + 50 x 1000 mm, Farbe
blau, Material LDPE, Öko-Label Blauer Engel, Recycling-
Anteil 100 %, Volumen 120 l, 1 Rolle à 25 Stk, Krt à 8 Rll.",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-abfallsack-mit-zugband-pro-180-ldpe-100-recyc-25stk-8-blau/CZHN2igsZoenrrcwuFuasE,https://media.igefa.de/files/images_idealclean/2201082.jpg,CLEAN and CLEVER PROFESSIONAL,
CLEAN and CLEVER SMART Müllbeutel SMA 72,entsorgung/müllbeutel/-abfallsäcke/müllbeutel-bis-70-l/müllbeutel-bis-70-l,500 mm x 600 mm 30 l,2133935,4024009030307,59916,"aus reißfestem Polyethylen (HDPE), mit Sternnaht,
perforiert, Einsatz in Gebäudereinigung, Gesundheitswesen,
Hotellerie und Gastronomie sowie Industrie und Verwaltung,
Breite 500 mm, Farbe transparent, Länge 600 mm, Material
HDPE, Volumen 30 l, 1 Rolle à 50 Stk, (Krt à 40 Rll).",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-muellbeutel-sma-72-500-mm-x-600-mm-30-l/2sQPjAGNCCm6HBP2ux9TXC,https://media.igefa.de/files/images_idealclean/2133935.jpg,CLEAN and CLEVER SMART,
CLEAN and CLEVER PROFESSIONAL Müllbeutel PRO 73,entsorgung/müllbeutel/-abfallsäcke/müllbeutel-bis-70-l/müllbeutel-bis-70-l,30 l 500 mm x 600 mm,2133927,4024009027963,36117,"aus spezieller Hochdruck-Folie (LDPE), gewährleistet eine
sehr gute Durchstoß- und Reißfestigkeit im Vergleich zu
herkömmlichen LDPE-Folien, mit Sternnaht, perforiert,
Einsatz in Gebäudereinigung, Gesundheitswesen, Hotellerie
und Gastronomie sowie Industrie und Verwaltung, Breite 500
mm, Farbe weiß, Länge 600 mm, Material LDPE-Spezialfolie,
Volumen 30 l, 1 Rolle à 50 Stk, (Krt à 25 Rll).",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-muellbeutel-pro-73-30-l-500-mm-x-600-mm/ZEEwXq7SytBU5TNgwPfSck,https://media.igefa.de/files/images/2133927.jpg,CLEAN and CLEVER PROFESSIONAL,
