product_name,original_data_column_1,original_data_column_2,supplier_article_number,ean,article_number,product_description,supplier,supplier_url,product_image_url,manufacturer,original_data_column_3
Starline Badeslipper,gastronomiebedarf/bad-und-wc/bademäntel/hotelslipper,Starline Badeslipper weiß mit Antirutschsohle  1 Paket = 25 Paar,2065574,4024009003455,012777,"Frottee Slipper ""comfort open"", rutschhemmend, mit
Textilnoppensohle, mit weißer Kunststoffummantelung und
extra gepolstertem Fersenbereich, verstärkte Laufsohle,
hygienisch paarweise im Starline-Folienbeutel verpackt,
Pantoffel zum Wohlfühlen und Relaxen, besonders geeignet
für den Nassbereich, Farbe weiß, Größe Einheitsgröße, 1
Packung à 25 Paa, (Krt à 4 Pac).",igefa Handelsgesellschaft,https://store.igefa.de/p/starline-badeslipper-starline-badeslipper-weiss-mit-antirutschsohle-1-paket-25-paar/NeqxryJX6uDU87jKCrGfCU,https://media.igefa.de/files/images_idealclean/2065574.jpg,Starline,
Papiertragetasche Recycling braun unbedruckt,gastronomiebedarf/einweg-tragetaschen-und-beutel/tragetasche-papier/tragetasche-papier-mit-griff,22 + 10 x 36 cm 70 g/m²,2181515,,221036-braun,"mit flachen Innenhenkeln, unbedruckt, Abmessung 22 + 10 x
36 cm, Farbe braun, Grammatur 70 g/m², Material Recycling-
Papier, Recycling-Anteil 60%, 1 Karton à 250 Stk.",igefa Handelsgesellschaft,https://store.igefa.de/p/papiertragetasche-recycling-braun-unbedruckt-22-10-x-36-cm-70-g-m/ayKU82nFbcmKJjEtAFxUmj,https://media.igefa.de/files/images_idealclean/2181515.jpg,Diverse Hersteller,
Duni 33 x 33 cm 3-lagig 1/8-Buchfalz - Uni,gastronomiebedarf/einweg-tabletop/einweg-serviette-classic/einweg-serviette-classic,"Cream FSC®, Nordic Swan, OK compost Home",5003404,7321011273836,127383,"Der perfekte Rahmen, wenn mehrere Serviervorgänge in kurzer Zeit erfolgen müssen. Optimales Preis-Leistungs-Verhältnis.",igefa Handelsgesellschaft,https://store.igefa.de/p/duni-33-x-33-cm-3-lagig-1-8-buchfalz-uni-cream-fsc-nordic-swan-ok-compost-home/MaP3d2mJCSwVzSfQBwxmzL,https://media.igefa.de/files/images_idealclean/5003404.jpg,Duni,1/8 Buchfalz; kompostierbar; immer pefekt zu falten; zeitsparend & bequem; vorgefaltete 3-lagige Serviette
Besteckset Holz,gastronomiebedarf/einweg-geschirr-und-besteck/einweg-besteck-nachhaltig/einweg-besteck-nachhaltig-holz,3/1,2173677,17340162007227,3786500-494,,igefa Handelsgesellschaft,https://store.igefa.de/p/besteckset-holz-3-1/H6ohLDSpJL8xPQxH6kANaE,https://media.igefa.de/files/images_idealclean/2173677.jpg,Diverse Hersteller,"für Lebensmittel aller Art; Länge Besteck: 160 mm; fett-, öl- & säurebeständig; Material Besteck: Birkenholz; inkl. 2-lagiger Zellulose-Serviette; temnperaturbeständig von -5° C bis +70° C"
Hosti Pappteller eckig,gastronomiebedarf/einweg-geschirr-und-besteck/einweg-geschirr-papier/einweg-geschirr-papier,"16,5 cm x 20 cm",5007249,4002836101100,10110010,"Recycling-Karton mit Decklage aus Zellstoff, 100 %
kompostierbar, für Bäckereien, Fleischereien, Imbiss,
Kantinen usw. nur für den direkten Kontakt mit trockenen
und nicht fettenden Lebensmitteln geeignet, Breite 16,5 cm,
Farbe weiß, rechteckig, Länge 20 cm, Material Recycling-
Karton, 1 Packung à 250 Stk, (Krt à 4 Pac).",igefa Handelsgesellschaft,https://store.igefa.de/p/hosti-pappteller-eckig-16-5-cm-x-20-cm/fhEksLj8mKjP7unFWkvXcT,https://media.igefa.de/files/images_idealclean/5007249.jpg,Diverse Hersteller,
Tork Spenderserviette Compact Falzung - hochweiß,gastronomiebedarf/einweg-tabletop/einweg-spenderserviette/einweg-spenderserviette,Tork Universal Serviette 24x30,2149623,7322540930788,10933,"Universal-Papierserviette 1-lagig, geeignet für N2
Spenderservietten System, Breite 24 cm, Farbe hochweiß, 1-
lagig, Länge 30 cm, Material Papier, Öko-Label EU Ecolabel
(Euro-Blume), FSC®, 1 Karton à 36 x 300 Stk.",igefa Handelsgesellschaft,https://store.igefa.de/p/tork-spenderserviette-compact-falzung-hochweiss-tork-universal-serviette-24x30/hKZcE9pppRy5QuqNDRSigh,https://media.igefa.de/files/images_idealclean/2149623.jpg,Tork,
Duni Untersetzer rund,gastronomiebedarf/einweg-tabletop/einweg-untersetzer/einweg-untersetzer,Coaster / Tassendecke,5005269,7321011620357,162035,,igefa Handelsgesellschaft,https://store.igefa.de/p/duni-untersetzer-rund-coaster-tassendecke/vWNierzUReTjkfLDDBLAAF,https://media.igefa.de/files/images_idealclean/5005269.jpg,Duni,glatter Rand; für Tassen & Gläser; Durchmesser - 9 cm; Umweltsiegel - FSC® & OK compost Industrial
Duni 33 x 33 cm 3-lagig 1/8-Buchfalz - Uni,gastronomiebedarf/einweg-tabletop/einweg-serviette-classic/einweg-serviette-classic,"Weiß FSC®, Nordic Swan, OK compost Home",5003644,4002215211031,211031,"Der perfekte Rahmen, wenn mehrere Serviervorgänge in kurzer Zeit erfolgen müssen. Optimales Preis-Leistungs-Verhältnis.",igefa Handelsgesellschaft,https://store.igefa.de/p/duni-33-x-33-cm-3-lagig-1-8-buchfalz-uni-weiss-fsc-nordic-swan-ok-compost-home/7rUveChxfykCJii7qG5fEW,https://media.igefa.de/files/images_idealclean/5003644.jpg,Duni,1/8 Buchfalz; kompostierbar; immer pefekt zu falten; zeitsparend & bequem; vorgefaltete 3-lagige Serviette
"Tork Lunchserviette 32,5x32,5cm Universal 1/4F",gastronomiebedarf/einweg-tabletop/einweg-serviette-classic/einweg-serviette-classic,Weiß Tissue,2166535,7322541051925,509300,"Zelltuchserviette 1-lagig 1/4 Falz, wirtschaftlich, deckt
den Grundbedarf an Servietten ab, komprimierte &
wiederverschließbare Packung, individueller Werbedruck
möglich - eine wirkungsvolle Möglichkeit, um zu werben, für
den Kontakt mit Lebensmitteln geeignet, Breite 32,5 cm,
Falzung 1/4-Falz, Farbe weiß, 1-lagig, Länge 32,5 cm,
Material Tissue, Öko-Label EU Ecolabel (Euro-Blume), FSC®,
1 Packung à 500 Stk, (Krt à 8 Pac).",igefa Handelsgesellschaft,https://store.igefa.de/p/tork-lunchserviette-32-5x32-5cm-universal-1-4f-weiss-tissue/FxovYeJJRbQSQeRwtkXsPQ,https://media.igefa.de/files/images_idealclean/2166535.jpg,Tork,
Tork Advanced 39 x 39 cm 2-lagig 1/8-Buchfalz - Uni,gastronomiebedarf/einweg-tabletop/einweg-serviette-classic/einweg-serviette-classic,Weiß,5004120,8710499047333,477554,"Tissue-Dinnerserviette, hohe Qualität, weich und saugfähig,
ideale Serviettengröße für ein Abendessen, vorgefaltet für
effektive Zeitersparnis, individueller Werbedruck möglich -
eine wirkungsvolle Möglichkeit, um zu werben, für den
Kontakt mit Lebensmitteln geeignet, Breite 39 cm, Falzung
1/8-Kopffalz, Farbe weiß, 2-lagig, Länge 39 cm, Material
Tissue, Öko-Label EU Ecolabel (Euro-Blume), 1 Packung à 150
Stk, (Krt à 12 Pac).",igefa Handelsgesellschaft,https://store.igefa.de/p/tork-advanced-39-x-39-cm-2-lagig-1-8-buchfalz-uni-weiss/7DkeG4juWZNfAE5JmZYiy5,https://media.igefa.de/files/images_idealclean/5004120.jpg,Tork,
