product_name,original_data_column_1,original_data_column_2,supplier_article_number,ean,article_number,product_description,supplier,supplier_url,product_image_url,manufacturer,original_data_column_3
Baretthaube,hygienebekleidung/kopfschutz/einweg-kopfbedeckung/einweg-kopfbedeckung,Weiß,5003462,,114-BC,"Einweg Küchenhaube (Baretthaube) zum Einsatz in der Lebensmittel-Industrie, im Krankenhausbereich uvm.",igefa Handelsgesellschaft,https://store.igefa.de/p/baretthaube-weiss/5bGTzViP3L8Yu2ZrpxVJES,https://media.igefa.de/files/images_idealclean/5003462.jpg,Diverse Hersteller,mit Elastikband; Durchmesser: Ø 53 cm
CPE Überziehschuhe,hygienebekleidung/fußschutz/staub-fußschutz/einweg-staub-fußschutz,Blaues Copolymer,2198912,,112-CPEMM3.2,,igefa Handelsgesellschaft,https://store.igefa.de/p/cpe-ueberziehschuhe-blaues-copolymer/og7tRAzefXnNzX6hrAcwnc,https://media.igefa.de/files/images_idealclean/2198912.jpg,Diverse Hersteller,extrastark; mit Gummizug; Material: blaues Copolymer
Vileda Contract - Der Ökonomische,hygienebekleidung/handschutz/allround-handschuh/allround-handschuh-kategorie-i,Gr.M,1914891,4023103080010,101017/100539,"Mehrweghandschuh, für minimale Risiken, mit seiner speziell
behandelten Außenseite verfügt er über eine erhöhte
Beständigkeit gegen Reinigungsmittel, hoher Tragekomfort
wird durch die Innenbeflockung aus reiner Baumwolle
gewährleistet, geeignet zum Einsatz im Reinigungssektor und
Gastrobereich, auch geeignet für Lebensmittelkontakt
(fettige Lebensmittel ausgenommen), Farbe gelb, Größe M,
Kategorie PSA Kategorie I - Minimale Risiken, Länge 305 mm,
Material Naturlatex, Materialstärke 0,35 mm, 1 Paar, (Krt à
50 Paa).",igefa Handelsgesellschaft,https://store.igefa.de/p/vileda-contract-der-oekonomische-gr-m/nBdj3u5QuC7JSvnotj2ZDE,https://media.igefa.de/files/images_idealclean/1914891.jpg,Vileda,
Kolibri Comface Mundschutz 3-lagig Typ IIR,hygienebekleidung/atemschutz/einweg-mund--und-staubschutz/einweg-mund--und-staubschutz,EN 14683 Typ IIR (40),2201870,4024009029110,2201870,"Die medizinischen Gesichtsmasken von Kolibri comface bestehen auf der Vorder- und Rückseite aus 100 % glasfaserfreiem Polypropylen-Spinnvlies. Die Innenseite der Maske ist aus einem glasfaserfreien Filtermedium und die elastischen Bänder werden aus
Polyester und Elastan gefertigt. Für den weiteren Komfort ist der Nasenbügel biegsam und aus einem ummanteltem Aluminiumdraht.
Die latexfreie Maske bietet eine Bakterienfilterleistung von mindestens 98 % gemäß EN 14683 Typ IIR. Die Qualitätssicherung erfolgt gemäß MDD 93/42 EWG.",igefa Handelsgesellschaft,https://store.igefa.de/p/kolibri-comface-mundschutz-3-lagig-typ-iir-en-14683-typ-iir-40/GyXZ2QS4JRzY9isZWkHU4V,https://media.igefa.de/files/images_idealclean/2201870.jpg,IGEFA,biegsamer Nasenbügel; mit elastischen Bändern; 100% glasfaserfreier Vliesstoff; Bakterienfilterleistung bei min. 98%
CLEAN and CLEVER SMART SMART-Allzweckhandschuhe SMA 59,hygienebekleidung/handschutz/allround-handschuh/allround-handschuh-kategorie-i,Gr.L,2149382,4024009032387,2149382,"Haushaltshandschuh, sehr guter Schutz durch langen Schaft,
anatomisch geformt, mit gewelltem Rand, hoher Tragekomfort,
da Innenseite mit Baumwollvelour beflockt,
schweißabsorbierend, gute Griffsicherheit durch
strukturierte Außenseite, Mehrweg-Handschuh, für
vielseitige Anwendungsbereiche geeignet: Reinigung,
Lebensmittelindustrie, Gastronomie, Industrie (Service,
Verpackung, ...), Landwirtschaft, konform mit der PSA-
Verordnung (EU) 2016/425, für den Kontakt mit Lebensmitteln
geeignet, Farbe gelb, Größe L, Kategorie PSA Kategorie I -
Minimale Risiken, Länge maximal 310 mm, Länge minimal 290
mm, Material Naturkautschuk-Latex, Materialstärke 0,35 mm,
Materialstärke Toleranz 0,03 mm, 1 Paar, (Krt à 20 x 10
Paa).",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-smart-allzweckhandschuhe-sma-59-gr-l/9VZb5LNJWeq5CRiJGUMSQT,https://media.igefa.de/files/images_idealclean/2149382.jpg,CLEAN and CLEVER SMART,
CLEAN and CLEVER SMART SMART-Allzweckhandschuhe SMA 59,hygienebekleidung/handschutz/allround-handschuh/allround-handschuh-kategorie-i,Gr.S,2149380,4024009032349,2149380,"Haushaltshandschuh, sehr guter Schutz durch langen Schaft,
anatomisch geformt, mit gewelltem Rand, hoher Tragekomfort,
da Innenseite mit Baumwollvelour beflockt,
schweißabsorbierend, gute Griffsicherheit durch
strukturierte Außenseite, Mehrweg-Handschuh, für
vielseitige Anwendungsbereiche geeignet: Reinigung,
Lebensmittelindustrie, Gastronomie, Industrie (Service,
Verpackung, ...), Landwirtschaft, konform mit der PSA-
Verordnung (EU) 2016/425, für den Kontakt mit Lebensmitteln
geeignet, Farbe gelb, Größe S, Kategorie PSA Kategorie I -
Minimale Risiken, Länge maximal 310 mm, Länge minimal 290
mm, Material Naturkautschuk-Latex, Materialstärke 0,35 mm,
Materialstärke Toleranz 0,03 mm, 1 Paar, (Krt à 20 x 10
Paa).",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-smart-allzweckhandschuhe-sma-59-gr-s/TZcKFzodFzpDRvEoCv46X5,https://media.igefa.de/files/images_idealclean/2149380.jpg,CLEAN and CLEVER SMART,
CLEAN and CLEVER SMART SMART-Allzweckhandschuhe SMA 59,hygienebekleidung/handschutz/allround-handschuh/allround-handschuh-kategorie-i,Gr.M,2149381,4024009032363,2149381,"Haushaltshandschuh, sehr guter Schutz durch langen Schaft,
anatomisch geformt, mit gewelltem Rand, hoher Tragekomfort,
da Innenseite mit Baumwollvelour beflockt,
schweißabsorbierend, gute Griffsicherheit durch
strukturierte Außenseite, Mehrweg-Handschuh, für
vielseitige Anwendungsbereiche geeignet: Reinigung,
Lebensmittelindustrie, Gastronomie, Industrie (Service,
Verpackung, ...), Landwirtschaft, konform mit der PSA-
Verordnung (EU) 2016/425, für den Kontakt mit Lebensmitteln
geeignet, Farbe gelb, Größe M, Kategorie PSA Kategorie I -
Minimale Risiken, Länge maximal 310 mm, Länge minimal 290
mm, Material Naturkautschuk-Latex, Materialstärke 0,35 mm,
Materialstärke Toleranz 0,03 mm, 1 Paar, (Krt à 20 x 10
Paa).",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-smart-allzweckhandschuhe-sma-59-gr-m/eY6mh94KDxKj5x4NjcsVsj,https://media.igefa.de/files/images_idealclean/2149381.jpg,CLEAN and CLEVER SMART,
AMPri Schiffchenmütze,hygienebekleidung/kopfschutz/einweg-kopfbedeckung/einweg-kopfbedeckung,AMPri Schiffchenmütze (100 Stück) Auf jede Kopfgröße einstellbar 100 Stück,5003054,4044941016030,04060-W,"Populäre Kopfbedeckung für Gastronomie, Großküchen, Lebensmittelindustrie und andere Bereiche,",igefa Handelsgesellschaft,https://store.igefa.de/p/ampri-schiffchenmuetze-ampri-schiffchenmuetze-100-stueck-auf-jede-kopfgroesse-einstellbar-100-stueck/HcjeBsM52W7bnYw8NjUApD,https://media.igefa.de/files/images_idealclean/5003054.jpg,AmPri,mit Papierkrone; Größe verstellbar; aus geprägtem Papier; für den Gastro- & Lebensmittelbereich
Haube,hygienebekleidung/kopfschutz/einweg-kopfbedeckung/einweg-kopfbedeckung,56 cm,5004224,,114-BCP,"Diese Haube mit Schirm ist besonders leicht und eignet sich für den Einsatz in der Fleisch- und Lebensmittelindustrie. Aus Polypropylen-Vlies gefertigt handelt es sich um eine atmungsaktive, saugfähige sowie luftdurchlässige Schirmhaube. Ein guter
Halt ist mit dem integrierten und latexfreien Elastikband gegeben.",igefa Handelsgesellschaft,https://store.igefa.de/p/haube-56-cm/fo58Nktzv8a7SHdKEcKJaU,https://media.igefa.de/files/images_idealclean/5004224.jpg,Diverse Hersteller,"Durchmesser: Ø 48 cm; dank geringem Gewicht angenehm zu tragen; luftdurchlässig, atmungsaktiv sowie saugfähig; latexfreies Elastikband sorgt für guten Sitz der Schirmhaube"
Vileda Contract - Der Ökonomische,hygienebekleidung/handschutz/allround-handschuh/allround-handschuh-kategorie-i,Gr.S,1914881,4023103080003,101016/100538,"Mehrweghandschuh, für minimale Risiken, mit seiner speziell
behandelten Außenseite verfügt er über eine erhöhte
Beständigkeit gegen Reinigungsmittel, hoher Tragekomfort
wird durch die Innenbeflockung aus reiner Baumwolle
gewährleistet, geeignet zum Einsatz im Reinigungssektor und
Gastrobereich, auch geeignet für Lebensmittelkontakt
(fettige Lebensmittel ausgenommen), Farbe gelb, Größe S,
Kategorie PSA Kategorie I - Minimale Risiken, Länge 305 mm,
Material Naturlatex, Materialstärke 0,35 mm, 1 Paar, (Krt à
50 Paa).",igefa Handelsgesellschaft,https://store.igefa.de/p/vileda-contract-der-oekonomische-gr-s/7CTadVvewqeFVYt2mg3mAP,https://media.igefa.de/files/images_idealclean/1914881.jpg,Vileda,
