product_name,original_data_column_1,original_data_column_2,supplier_article_number,ean,article_number,product_description,supplier,supplier_url,product_image_url,manufacturer,original_data_column_3
CLEAN and CLEVER SMART Klapphalter SMA 305,mobile-reinigung/halter/halter/halter,50 cm 420 g,2173509,4024009032554,303411,"Kunststoff-Klapphalter, ideale Passform für alle
handelsüblichen Bezüge, extrem robust, gewährleistet durch
einfaches Handling eine schnellere Reinigung, optimiertes
Gewicht für ergonomisches Arbeiten, mit Doppelgelenk, mit
Schraubverbindung mit Edelstahlschraube zur Befestigung des
Stiels, passend zu CLEAN and CLEVER Alustiel und
Teleskopstiel, Arbeitsbreite 50 cm, Farbe schwarz / grau,
Gewicht 420 g, Material Polypropylen, 1 Stück, (Krt à 10
Stk).",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-klapphalter-sma-305-50-cm-420-g/nm9xAg5N95KF8U6hpQNzYB,https://media.igefa.de/files/images_idealclean/2173509.jpg,CLEAN and CLEVER SMART,
CLEAN and CLEVER PROFESSIONAL Baumwollmopp PRO 303,mobile-reinigung/feuchtwischsysteme/bezüge/bezüge,40 cm 160 g,2173500,4024009033186,303406,"CLEAN and CLEVER PROFESSIONAL Baumwollmopp PRO 303 ist besonders geeignet zur Unterhaltsreinigung von glatten & leicht porösen Flächen, wie z.B. elastische Bodenbeläge, Hartbeläge, Steinböden, Feinsteinzeug & Fliesen.",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-baumwollmopp-pro-303-40-cm-160-g/g3qdmsFQu5Nga7kmGjFoaK,https://media.igefa.de/files/images_idealclean/2173500.jpg,CLEAN and CLEVER PROFESSIONAL,"trocknergeeignet; waschbar bis 95° C; gute Gleiteigenschaften; hohe Schmutz- & Wasseraufnahme; ""Lock-Tufting-Verfahren"" verhindert Laufmaschen-Effekt"
CLEAN and CLEVER PROFESSIONAL Microfasermopp mit Leichtlaufstreifen PRO 301,mobile-reinigung/nasswischsysteme/bezüge/bezüge,50 cm 120 g,2173505,4024009033339,303403,"ideale Gleiteigenschaften für angenehmen Arbeitsablauf,
hohes Schmutz- und Wasseraufnahmevermögen, weiche Borsten
entfernen Schmutz auch aus unsichtbaren Microporen,
Leichtlaufstreifen mit leichtem Borsteneffekt ermöglichen
höheren Wirkungsgrad beim Reinigen gegenüber herkömmlichen
Textilmoppbezügen, durch die elektrostatische Wirkung der
Fasern werden Haare, Flusen und andere Schmutzpartikel
angezogen, ohne Staub aufzuwirbeln, mit 4-Farbsystem
(rot/grün/gelb/blau) als Einnäher zum Abschneiden, waschbar
bis 95°C, trocknergeeignet, ideal geeignet zur
Unterhaltsreinigung und Grundreinigung bei ebenen bis
leicht unebenen Bodenbelägen, z. B. Steinböden, Fliesen,
Feinsteinzeug, Marmor, Sicherheitsfliesen, PVC, Parkett,
Holz, Laminat u.v.m, Arbeitsbreite 50 cm, Farbe weiß / blau,
Gewicht 120 g, Material 81 % Polyester / 19 % Polyamid,
Material Sekundär 100 % Polyester, 1 Stück, (Krt à 50 Stk).",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-microfasermopp-mit-leichtlaufstreifen-pro-301-50-cm-120-g/baRxitU2d4brFtRbDwTSyb,https://media.igefa.de/files/images_idealclean/2173505.jpg,CLEAN and CLEVER PROFESSIONAL,
CLEAN and CLEVER PROFESSIONAL Magnet-Klapphalter PRO 305,mobile-reinigung/halter/halter/halter,50 cm 590 g,2173511,4024009033421,303409,"Kunststoff-Klapphalter mit Magnetverschluss, ideale
Passform für alle handelsüblichen Wischbezüge, extrem
robust, gewährleistet durch einfaches Handling eine
schnellere Reinigung, optimiertes Gewicht ermöglicht
ergonomisches Arbeiten, mit Doppelgelenk, mit
Schraubverbindung mit Edelstahlschraube zur Befestigung des
Stiels, passend zu CLEAN and CLEVER Alustiel und
Teleskopstiel, Arbeitsbreite 50 cm, Farbe schwarz / grau,
Gewicht 590 g, Material Polypropylen, 1 Stück, (Krt à 10
Stk).",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-magnet-klapphalter-pro-305-50-cm-590-g-kunststoff-klapphalter-mit-magnetverschluss/yTfABALic6KKxb3sbWYyDE,https://media.igefa.de/files/images_idealclean/2173511.jpg,CLEAN and CLEVER PROFESSIONAL,
CLEAN and CLEVER PROFESSIONAL Baumwollmopp PRO 303,mobile-reinigung/feuchtwischsysteme/bezüge/bezüge,50 cm 220 g,2173501,4024009033216,303407,"CLEAN and CLEVER PROFESSIONAL Baumwollmopp PRO 303 ist besonders geeignet zur Unterhaltsreinigung von glatten & leicht porösen Flächen, wie z.B. elastische Bodenbeläge, Hartbeläge, Steinböden, Feinsteinzeug & Fliesen.",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-baumwollmopp-pro-303-50-cm-220-g-wischmopp-mit-schlingen-fransen-innen-aussen/dTgrwyF5QPFxRmwsdSCb7j,https://media.igefa.de/files/images_idealclean/2173501.jpg,CLEAN and CLEVER PROFESSIONAL,"trocknergeeignet; waschbar bis 95° C; gute Gleiteigenschaften; hohe Schmutz- & Wasseraufnahme; ""Lock-Tufting-Verfahren"" verhindert Laufmaschen-Effekt"
CLEAN and CLEVER SMART Aluminiumstiel SMA 306,mobile-reinigung/stiele/stiele/stiele,CLEAN and CLEVER SMART Alustiel SMA 306 Bestens geeignet für die CLEAN and CLEVER Klapphalter 140 cm,2173512,4024009032578,303413,"leichter, stabiler Stiel, aus eloxiertem Aluminium, mit
schwarzer Griffkappe mit ergonomischer Form, rutschhemmende
Riefen und einem Loch zur Aufhängung, Lochbohrungen zur
Arretierung an handelsüblichen Klapphaltern, insbesondere
für CLEAN and CLEVER Klapphaltern, Gewicht 240 g, Länge 140
cm, 1 Stück, (Krt à 50 Stk).",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-aluminiumstiel-sma-306-clean-and-clever-smartline-alustiel-sma-306-bestens-geeignet-fuer-die-clean-and-clever-klapphalter-140-cm/LSkNKZBNGro6z4SDYnc3AG,https://media.igefa.de/files/images_idealclean/2173512.jpg,CLEAN and CLEVER SMART,
CLEAN and CLEVER PROFESSIONAL Magnet-Klapphalter PRO 305,mobile-reinigung/halter/halter/halter,40 cm 470 g,2173510,4024009033407,303408,"Kunststoff-Klapphalter mit Magnetverschluss, ideale
Passform für alle handelsüblichen Wischbezüge, extrem
robust, gewährleistet durch einfaches Handling eine
schnellere Reinigung, optimiertes Gewicht ermöglicht
ergonomisches Arbeiten, mit Doppelgelenk, mit
Schraubverbindung mit Edelstahlschraube zur Befestigung des
Stiels, passend zu CLEAN and CLEVER Alustiel und
Teleskopstiel, Arbeitsbreite 40 cm, Farbe schwarz / grau,
Gewicht 470 g, Material Polypropylen, 1 Stück, (Krt à 10
Stk).",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-magnet-klapphalter-pro-305-40-cm-470-g/Uoyyg7todZp3PmHpnpNioC,https://media.igefa.de/files/images_idealclean/2173510.jpg,CLEAN and CLEVER PROFESSIONAL,
CLEAN and CLEVER PROFESSIONAL Microfasermopp PRO 300,mobile-reinigung/nasswischsysteme/bezüge/bezüge,40 cm 98 g,2173502,4024009033247,303400,"optimale Reinigungswirkung durch 100% Microfaser, effektiv
auch bei groben Verschmutzungen, durch die elektrostatische
Wirkung der Fasern werden Haare, Flusen und andere
Schmutzpartikel angezogen ohne Staub aufzuwirbeln, mit 4-
Farbsystem (rot/grün/gelb/blau) als Einnäher zum
Abschneiden, waschbar bis 95 °C, trocknergeeignet,
Arbeitsbreite 40 cm, Farbe weiß, Gewicht 98 g, Material 100
% Polyester, 1 Stück, (Krt à 75 Stk).",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-microfasermopp-pro-300-40-cm-98-g/q4JEspjQgvRRAoWNmxwWU5,https://media.igefa.de/files/images_idealclean/2173502.jpg,CLEAN and CLEVER PROFESSIONAL,
CLEAN and CLEVER PROFESSIONAL Microfasermopp mit Leichtlaufstreifen PRO 301,mobile-reinigung/nasswischsysteme/bezüge/bezüge,40 cm 98 g,2173504,4024009033308,303402,"ideale Gleiteigenschaften für angenehmen Arbeitsablauf,
hohes Schmutz- und Wasseraufnahmevermögen, weiche Borsten
entfernen Schmutz auch aus unsichtbaren Microporen,
Leichtlaufstreifen mit leichtem Borsteneffekt ermöglichen
höheren Wirkungsgrad beim Reinigen gegenüber herkömmlichen
Textilmoppbezügen, durch die elektrostatische Wirkung der
Fasern werden Haare, Flusen und andere Schmutzpartikel
angezogen, ohne Staub aufzuwirbeln, mit 4-Farbsystem
(rot/grün/gelb/blau) als Einnäher zum Abschneiden, waschbar
bis 95°C, trocknergeeignet, ideal geeignet zur
Unterhaltsreinigung und Grundreinigung bei ebenen bis
leicht unebenen Bodenbelägen, z. B. Steinböden, Fliesen,
Feinsteinzeug, Marmor, Sicherheitsfliesen, PVC, Parkett,
Holz, Laminat u.v.m, Arbeitsbreite 40 cm, Farbe weiß / blau,
Gewicht 98 g, Material 81 % Polyester / 19 % Polyamid,
Material Sekundär 100 % Polyester, 1 Stück, (Krt à 75 Stk).",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-microfasermopp-mit-leichtlaufstreifen-pro-301-40-cm-98-g/EsWDt39QcWEa7QVNgBm2pb,https://media.igefa.de/files/images_idealclean/2173504.jpg,CLEAN and CLEVER PROFESSIONAL,
CLEAN and CLEVER SMART Klapphalter SMA 305,mobile-reinigung/halter/halter/halter,40 cm 330 g,2173508,4024009032530,303410,"Kunststoff-Klapphalter, ideale Passform für alle
handelsüblichen Bezüge, extrem robust, gewährleistet durch
einfaches Handling eine schnellere Reinigung, optimiertes
Gewicht für ergonomisches Arbeiten, mit Doppelgelenk, mit
Schraubverbindung mit Edelstahlschraube zur Befestigung des
Stiels, passend zu CLEAN and CLEVER Alustiel und
Teleskopstiel, Arbeitsbreite 40 cm, Farbe schwarz / grau,
Gewicht 330 g, Material Polypropylen, 1 Stück, (Krt à 10
Stk).",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-klapphalter-sma-305-40-cm-330-g-kunststoff-klapphalter/UUw3hJqibFxNxR7VeYQTNe,https://media.igefa.de/files/images_idealclean/2173508.jpg,CLEAN and CLEVER SMART,
