product_name,original_data_column_1,original_data_column_2,supplier_article_number,ean,article_number,product_description,supplier,supplier_url,product_image_url,manufacturer,original_data_column_3
Kolibri GREEN Untersuchungshandschuhe,persönliche-schutzausrüstung-(psa)/handschutz/untersuchungshandschuh-und--fingerling/untersuchungshandschuh-unsteril-vinyl-puderfrei,Gr.XL,2168404,4024009012112,3000011664,"Dieser nachhaltige Untersuchungshandschuh kann in zahlreichen Anwendungen sowohl im Alten- und Pflegeheim, in der Arzt- und Dentalpraxis als auch bei der mobilen Pflege eingesetzt werden. Durch den zuverlässigen Schutz vor Viren, Pilzen und
Bakterien bietet er sich auch im infektiösen Umfeld an. Dieser Handschuh ist Beschleuniger-frei und wurde mit 10 % weniger Wasser und 15 % weniger Co2, chlorfrei produziert.",igefa Handelsgesellschaft,https://store.igefa.de/p/kolibri-green-untersuchungshandschuhe-gr-xl-untersuchungshandschuhe-und-einmalhandschuhe-aus-nitril-puderfrei/dK7KD5PFw4pszH85V4cnLh,https://media.igefa.de/files/images_idealclean/2168404.jpg,Kolibri,öl- & fettbeständig; virenbeständig gemäß EN ISO 374-5; Desinfektionsmittel- & Zytostatika-beständig; sehr hohe Tastsensibilität & hervorragende Passform; ohne Naturlatex-Proteine (geeignet für Latexallergiker); Handschuhbox besteht zu 80 % aus recycletem Papier; beständig als Spritzschutz gegen viele verdünnte Chemikalien
Kolibri GREEN Untersuchungshandschuhe,persönliche-schutzausrüstung-(psa)/handschutz/untersuchungshandschuh-und--fingerling/untersuchungshandschuh-unsteril-vinyl-puderfrei,Gr.S,2168401,4024009009921,3000011661,"Dieser nachhaltige Untersuchungshandschuh kann in zahlreichen Anwendungen sowohl im Alten- und Pflegeheim, in der Arzt- und Dentalpraxis als auch bei der mobilen Pflege eingesetzt werden. Durch den zuverlässigen Schutz vor Viren, Pilzen und
Bakterien bietet er sich auch im infektiösen Umfeld an. Dieser Handschuh ist Beschleuniger-frei und wurde mit 10 % weniger Wasser und 15 % weniger Co2, chlorfrei produziert.",igefa Handelsgesellschaft,https://store.igefa.de/p/kolibri-green-untersuchungshandschuhe-gr-s-untersuchungshandschuhe-und-einmalhandschuhe-aus-nitril-puderfrei/v7WqRnv4fLD7C3aYQn3kDo,https://media.igefa.de/files/images_idealclean/2168401.jpg,Kolibri,öl- & fettbeständig; virenbeständig gemäß EN ISO 374-5; Desinfektionsmittel- & Zytostatika-beständig; sehr hohe Tastsensibilität & hervorragende Passform; ohne Naturlatex-Proteine (geeignet für Latexallergiker); Handschuhbox besteht zu 80 % aus recycletem Papier; beständig als Spritzschutz gegen viele verdünnte Chemikalien
Kolibri GREEN Untersuchungshandschuhe,persönliche-schutzausrüstung-(psa)/handschutz/untersuchungshandschuh-und--fingerling/untersuchungshandschuh-unsteril-vinyl-puderfrei,Gr.L,2168403,4024009010958,3000011663,"Dieser nachhaltige Untersuchungshandschuh kann in zahlreichen Anwendungen sowohl im Alten- und Pflegeheim, in der Arzt- und Dentalpraxis als auch bei der mobilen Pflege eingesetzt werden. Durch den zuverlässigen Schutz vor Viren, Pilzen und
Bakterien bietet er sich auch im infektiösen Umfeld an. Dieser Handschuh ist Beschleuniger-frei und wurde mit 10 % weniger Wasser und 15 % weniger Co2, chlorfrei produziert.",igefa Handelsgesellschaft,https://store.igefa.de/p/kolibri-green-untersuchungshandschuhe-gr-l-untersuchungshandschuhe-und-einmalhandschuhe-aus-nitril-puderfrei/tSQ5PiZDo6WRusmYJwVZ9Z,https://media.igefa.de/files/images_idealclean/2168403.jpg,Kolibri,öl- & fettbeständig; virenbeständig gemäß EN ISO 374-5; Desinfektionsmittel- & Zytostatika-beständig; sehr hohe Tastsensibilität & hervorragende Passform; ohne Naturlatex-Proteine (geeignet für Latexallergiker); Handschuhbox besteht zu 80 % aus recycletem Papier; beständig als Spritzschutz gegen viele verdünnte Chemikalien
CLEAN and CLEVER PROFESSIONAL Chemikalienschutzhandschuhe Nitril PRO 57,persönliche-schutzausrüstung-(psa)/handschutz/chemikalienhandschutz/chemikalienhandschutz-mit-trägermaterial,Gr.M,2134142,4024009028854,2134142,"Chemikalienschutzhandschuhe, sehr guter Schutz durch extra
langen Schaft, hautschonend, da frei von Latexproteinen,
anatomisch geformt, mit geradem Rand, hoher Tragekomfort,
da Innenseite mit Baumwolle beflockt, schweißabsorbierend,
gute Griffsicherheit durch strukturierte Außenseite,
Mehrweg-Handschuh für den Einsatz in der professionellen
Reinigung, zum Schutz beim Hantieren mit Chemikalien sowie
gewerblichen Arbeitsschutz, persönliche Schutzausrüstung
gemäß EN 420 sowie PSA-Verordnung (EU) 2016/425, Widerstand
gegen Bakterien und Pilze gemäß EN ISO 374-5:2016, kann bei
der Zubereitung und Behandlung von Lebensmitteln verwendet
werden, AQL-Wert gemäß EN374 1.5, Farbe grün, Größe M,
Kategorie PSA Kategorie III - Irreversible Risiken, Länge
maximal 340 mm, Länge minimal 320 mm, Leistungslevel
Chemikalien und Mikroorganismen J K L O P T, Leistungslevel
Mechanische Risiken 4 1 0 1 X, Material Nitril,
Materialstärke 0,38 mm, Materialstärke Toleranz 0,05 mm,
Norm Chemikalien und Mikroorganismen EN 374 Typ A, Norm
Mechanische Risiken EN 388, 1 Paar, (Krt à 12 x 12 Paa).",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-chemikalienschutzhandschuhe-nitril-pro-57-gr-m/j5XvfBtQnspnkaXjnQYFDU,https://media.igefa.de/files/images_idealclean/2134142.jpg,CLEAN and CLEVER PROFESSIONAL,
"Kolibri PREMIUM Untersuchungshandschuhe, blau",persönliche-schutzausrüstung-(psa)/handschutz/untersuchungshandschuh-und--fingerling/untersuchungshandschuh-unsteril-nitril-puderfrei,Gr.M,2134087,4024009031892,3000007028,"Kolibri Premium Nitril Untersuchungshandschuhe und Einmalschutzhandschuhe aus
Nitrilbutadienkautschuk (NBR).
Die Premium Untersuchungshandschuhe sind als Spritzschutz gegen Chemikalien, Reinigungsmittel und Flüssigkeiten beständig.
Die Kolibri Nitril-Handschuhe besitzen eine hervorragende Tastsensibilität und hohen Tragekomfort.
Sie sind beidseitig verwendbar und besitzen eine anschmiegsame Passform.
Produktvorteile im Überblick:",igefa Handelsgesellschaft,https://store.igefa.de/p/kolibri-premium-untersuchungshandschuhe-blau-gr-m/fAPh3hWyK4wXmXqwjH9HS3,https://media.igefa.de/files/images_idealclean/2134087.jpg,Kolibri,
CLEAN and CLEVER PROFESSIONAL Einmalschutzhandschuhe PRO 167,persönliche-schutzausrüstung-(psa)/handschutz/einweghandschuh/einweghandschuh-aus-nitril,Gr.XL,2134080,4024009028397,3000006989,"Dieser Einmalschutzhandschuh kann durch seine sehr hohe Tastsensibilität und schwarze Farbe sowohl in der Gastronomie, in lebensmittelverkaufenden Branchen als auch in der Automobilindustrie eingesetzt werden. Durch den zuverlässigen Schutz vor
verdünnten chemischen Flüssigkeiten bietet er sich z. B. auch für den Friseur an.",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-einmalschutzhandschuhe-pro-167-gr-xl/wkJJ9SDEWPinJkm3LEYAo4,https://media.igefa.de/files/images_idealclean/2134080.jpg,CLEAN and CLEVER PROFESSIONAL,öl- & fettbeständig; erhöhte Reißfestigkeit; hervorragende Passform; sehr hohe Tastsensibilität; latexfrei – empfohlen bei Latex-Allergien; gute Griffigkeit durch angerauhte Fingerkuppen
CLEAN and CLEVER PROFESSIONAL Einmalschutzhandschuhe PRO 167,persönliche-schutzausrüstung-(psa)/handschutz/einweghandschuh/einweghandschuh-aus-nitril,Gr.S,2134077,4024009028335,3000006986,"Dieser Einmalschutzhandschuh kann durch seine sehr hohe Tastsensibilität und schwarze Farbe sowohl in der Gastronomie, in lebensmittelverkaufenden Branchen als auch in der Automobilindustrie eingesetzt werden. Durch den zuverlässigen Schutz vor
verdünnten chemischen Flüssigkeiten bietet er sich z. B. auch für den Friseur an.",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-einmalschutzhandschuhe-pro-167-gr-s/FWD83MP5CF76fiSNx24d2i,https://media.igefa.de/files/images_idealclean/2134077.jpg,CLEAN and CLEVER PROFESSIONAL,öl- & fettbeständig; erhöhte Reißfestigkeit; hervorragende Passform; sehr hohe Tastsensibilität; latexfrei – empfohlen bei Latex-Allergien; gute Griffigkeit durch angerauhte Fingerkuppen
"Kolibri PREMIUM Untersuchungshandschuhe, blau",persönliche-schutzausrüstung-(psa)/handschutz/untersuchungshandschuh-und--fingerling/untersuchungshandschuh-unsteril-nitril-puderfrei,Gr.XL,2134089,4024009031915,3000007030,"Kolibri Premium Nitril Untersuchungshandschuhe und Einmalschutzhandschuhe aus
Nitrilbutadienkautschuk (NBR).
Die Premium Untersuchungshandschuhe sind als Spritzschutz gegen Chemikalien, Reinigungsmittel und Flüssigkeiten beständig.
Die Kolibri Nitril-Handschuhe besitzen eine hervorragende Tastsensibilität und hohen Tragekomfort.
Sie sind beidseitig verwendbar und besitzen eine anschmiegsame Passform.
Produktvorteile im Überblick:",igefa Handelsgesellschaft,https://store.igefa.de/p/kolibri-premium-untersuchungshandschuhe-blau-gr-xl/Ybpp9znUGF7GMAQR8YKQ8W,https://media.igefa.de/files/images_idealclean/2134089.jpg,Kolibri,
"Kolibri PREMIUM Untersuchungshandschuhe, blau",persönliche-schutzausrüstung-(psa)/handschutz/untersuchungshandschuh-und--fingerling/untersuchungshandschuh-unsteril-nitril-puderfrei,Gr.S,2134086,4024009031885,3000007027,"Kolibri Premium Nitril Untersuchungshandschuhe und Einmalschutzhandschuhe aus
Nitrilbutadienkautschuk (NBR).
Die Premium Untersuchungshandschuhe sind als Spritzschutz gegen Chemikalien, Reinigungsmittel und Flüssigkeiten beständig.
Die Kolibri Nitril-Handschuhe besitzen eine hervorragende Tastsensibilität und hohen Tragekomfort.
Sie sind beidseitig verwendbar und besitzen eine anschmiegsame Passform.
Produktvorteile im Überblick:",igefa Handelsgesellschaft,https://store.igefa.de/p/kolibri-premium-untersuchungshandschuhe-blau-gr-s/upUnUaMvnoog2SVFyc3DCB,https://media.igefa.de/files/images_idealclean/2134086.jpg,Kolibri,
"Kolibri PREMIUM Untersuchungshandschuhe, blau",persönliche-schutzausrüstung-(psa)/handschutz/untersuchungshandschuh-und--fingerling/untersuchungshandschuh-unsteril-nitril-puderfrei,Gr.L,2134088,4024009031908,3000007029,"Kolibri Premium Nitril Untersuchungshandschuhe und Einmalschutzhandschuhe aus
Nitrilbutadienkautschuk (NBR).
Die Premium Untersuchungshandschuhe sind als Spritzschutz gegen Chemikalien, Reinigungsmittel und Flüssigkeiten beständig.
Die Kolibri Nitril-Handschuhe besitzen eine hervorragende Tastsensibilität und hohen Tragekomfort.
Sie sind beidseitig verwendbar und besitzen eine anschmiegsame Passform.
Produktvorteile im Überblick:",igefa Handelsgesellschaft,https://store.igefa.de/p/kolibri-premium-untersuchungshandschuhe-blau-gr-l/RQbQS3bVtnXFTbMMKLRtGN,https://media.igefa.de/files/images_idealclean/2134088.jpg,Kolibri,
