product_name,original_data_column_1,original_data_column_2,supplier_article_number,ean,article_number,product_description,supplier,supplier_url,product_image_url,manufacturer,original_data_column_3
Kolibri PREMIUM Untersuchungshandschuhe,persönliche-schutzausrüstung-(psa)/handschutz/untersuchungshandschuh-und--fingerling/untersuchungshandschuh-unsteril-vinyl-puderfrei,Gr.S,2134125,4024009008085,2134125,"Dieser Untersuchungshandschuh kann durch seine weiche Vinylqualität in zahlreichen Bereichen in der Arzt- und Dentalpraxis, im Alten- und Pflegeheim und in der mobilen Betreuung eingesetzt werden. Durch die Materialeigenschaften und die
wirtschaftliche Ausrichtung des Handschuhs bietet er sich besonders bei einfachsten Tätigkeiten in der pflegerischen Versorgung am Patienten und Bewohner an.",igefa Handelsgesellschaft,https://store.igefa.de/p/kolibri-premium-untersuchungshandschuhe-gr-s/J9BSbwc9hjwaPRvtoNiQMB,https://media.igefa.de/files/images_idealclean/2134125.jpg,Kolibri,puderfrei; weiche Vinylqualität; leicht an- & ausziehbar; günstige Alternative zu Latex- & Nitrilhandschuhe
Kolibri PREMIUM Untersuchungshandschuhe,persönliche-schutzausrüstung-(psa)/handschutz/untersuchungshandschuh-und--fingerling/untersuchungshandschuh-unsteril-vinyl-puderfrei,Gr.M,2134126,4024009008115,2134126,"Dieser Untersuchungshandschuh kann durch seine weiche Vinylqualität in zahlreichen Bereichen in der Arzt- und Dentalpraxis, im Alten- und Pflegeheim und in der mobilen Betreuung eingesetzt werden. Durch die Materialeigenschaften und die
wirtschaftliche Ausrichtung des Handschuhs bietet er sich besonders bei einfachsten Tätigkeiten in der pflegerischen Versorgung am Patienten und Bewohner an.
Produktvorteile im Überblick:",igefa Handelsgesellschaft,https://store.igefa.de/p/kolibri-premium-untersuchungshandschuhe-gr-m/vsZniv4RADQAWft3Xxidam,https://media.igefa.de/files/images_idealclean/2134126.jpg,Kolibri,puderfrei; weiche Vinylqualität; leicht an- & ausziehbar; günstige Alternative zu Latex- & Nitrilhandschuhe
Kolibri PREMIUM Untersuchungshandschuhe,persönliche-schutzausrüstung-(psa)/handschutz/untersuchungshandschuh-und--fingerling/untersuchungshandschuh-unsteril-vinyl-puderfrei,Gr.L,2134127,4024009008849,2134127,"Dieser Untersuchungshandschuh kann durch seine weiche Vinylqualität in zahlreichen Bereichen in der Arzt- und Dentalpraxis, im Alten- und Pflegeheim und in der mobilen Betreuung eingesetzt werden. Durch die Materialeigenschaften und die
wirtschaftliche Ausrichtung des Handschuhs bietet er sich besonders bei einfachsten Tätigkeiten in der pflegerischen Versorgung am Patienten und Bewohner an.
Produktvorteile im Überblick:",igefa Handelsgesellschaft,https://store.igefa.de/p/kolibri-premium-untersuchungshandschuhe-gr-l/CpxNMxkBtVPTQvM9SBnCqV,https://media.igefa.de/files/images_idealclean/2134127.jpg,Kolibri,puderfrei; weiche Vinylqualität; leicht an- & ausziehbar; günstige Alternative zu Latex- & Nitrilhandschuhe
Kolibri PREMIUM Untersuchungshandschuhe,persönliche-schutzausrüstung-(psa)/handschutz/untersuchungshandschuh-und--fingerling/untersuchungshandschuh-unsteril-latex-puderfrei,Gr.S,2134069,4024009031830,39-067-S,"Kolibri Premium Latex Untersuchungshandschuhe und Einmalschutzhandschuhe aus Naturlatex.
Die Premium Untersuchungshandschuhe sind als Spritzschutz viele Flüssigkeiten beständig.
Die Kolibri Nitril-Handschuhe besitzen eine hervorragende Reißfestigkeit und Passform.
Sie sind beidseitig verwendbar und besitzen eine gute Griffsicherheit durch angeraute Fingerkuppen.
Hinweis: Das Produkt enthält Naturlatex, welches allergische Reaktionen hervorrufen kann. Bei Unverträglichkeit gegen diesen Stoff nicht verwenden.
Produktvorteile im Überblick:",igefa Handelsgesellschaft,https://store.igefa.de/p/kolibri-premium-untersuchungshandschuhe-gr-s/ikDdSgWkf6XgFZpp56g2tP,https://media.igefa.de/files/images_idealclean/2134069.jpg,Kolibri,
Kolibri PREMIUM Untersuchungshandschuhe,persönliche-schutzausrüstung-(psa)/handschutz/untersuchungshandschuh-und--fingerling/untersuchungshandschuh-unsteril-latex-puderfrei,Gr.XL,2134072,4024009031861,39-067-XL,"Kolibri Premium Latex Untersuchungshandschuhe und Einmalschutzhandschuhe aus Naturlatex.
Die Premium Untersuchungshandschuhe sind als Spritzschutz viele Flüssigkeiten beständig.
Die Kolibri Nitril-Handschuhe besitzen eine hervorragende Reißfestigkeit und Passform.
Sie sind beidseitig verwendbar und besitzen eine gute Griffsicherheit durch angeraute Fingerkuppen.
Hinweis: Das Produkt enthält Naturlatex, welches allergische Reaktionen hervorrufen kann. Bei Unverträglichkeit gegen diesen Stoff nicht verwenden.
Produktvorteile im Überblick:",igefa Handelsgesellschaft,https://store.igefa.de/p/kolibri-premium-untersuchungshandschuhe-gr-xl/XgkJcdK3rUxYrnkUfi64Uk,https://media.igefa.de/files/images_idealclean/2134072.jpg,Kolibri,
Kolibri PREMIUM Untersuchungshandschuhe,persönliche-schutzausrüstung-(psa)/handschutz/untersuchungshandschuh-und--fingerling/untersuchungshandschuh-unsteril-latex-puderfrei,Gr.M,2134070,4024009031847,39-067-M,"Kolibri Premium Latex Untersuchungshandschuhe und Einmalschutzhandschuhe aus Naturlatex.
Die Premium Untersuchungshandschuhe sind als Spritzschutz viele Flüssigkeiten beständig.
Die Kolibri Nitril-Handschuhe besitzen eine hervorragende Reißfestigkeit und Passform.
Sie sind beidseitig verwendbar und besitzen eine gute Griffsicherheit durch angeraute Fingerkuppen.
Hinweis: Das Produkt enthält Naturlatex, welches allergische Reaktionen hervorrufen kann. Bei Unverträglichkeit gegen diesen Stoff nicht verwenden.
Produktvorteile im Überblick:",igefa Handelsgesellschaft,https://store.igefa.de/p/kolibri-premium-untersuchungshandschuhe-gr-m/5YGtb3pm3zVAVvpwDJbUqJ,https://media.igefa.de/files/images_idealclean/2134070.jpg,Kolibri,
Kolibri PREMIUM Untersuchungshandschuhe,persönliche-schutzausrüstung-(psa)/handschutz/untersuchungshandschuh-und--fingerling/untersuchungshandschuh-unsteril-latex-puderfrei,Gr.L,2134071,4024009031854,39-067-L,"Kolibri Premium Latex Untersuchungshandschuhe und Einmalschutzhandschuhe aus Naturlatex.
Die Premium Untersuchungshandschuhe sind als Spritzschutz viele Flüssigkeiten beständig.
Die Kolibri Nitril-Handschuhe besitzen eine hervorragende Reißfestigkeit und Passform.
Sie sind beidseitig verwendbar und besitzen eine gute Griffsicherheit durch angeraute Fingerkuppen.
Hinweis: Das Produkt enthält Naturlatex, welches allergische Reaktionen hervorrufen kann. Bei Unverträglichkeit gegen diesen Stoff nicht verwenden.
Produktvorteile im Überblick:",igefa Handelsgesellschaft,https://store.igefa.de/p/kolibri-premium-untersuchungshandschuhe-gr-l/P3a5dfAVPQHwTA5tKPEX95,https://media.igefa.de/files/images_idealclean/2134071.jpg,Kolibri,
SENSITIVE Untersuchungshandschuhe,persönliche-schutzausrüstung-(psa)/handschutz/untersuchungshandschuh-und--fingerling/untersuchungshandschuh-unsteril-nitril-puderfrei,Gr.S,2232400,4024009012839,2232400,"Untersuchungshandschuhe und Einmalschutzhandschuhe aus
Nitril, puderfrei, virenbeständig gemäß EN ISO 374-5,
beständig als Spritzschutz gegen viele verdünnte
Chemikalien, Desinfektionsmittel- und Zytostatika-beständig,
öl- und fettbeständig, sehr hohe Tastsensibilität und
hervorragende Passform, ohne Naturlatex-Proteine (geeignet
für Latexallergiker), für den einmaligen Gebrauch im
hygienischen und medizinischen Bereich, geeignet für
Lebensmittelkontakt, unsteril, puderfrei, fingertexturiert,
beidhändig passend, Rollrand, kann bei zahlreichen
pflegerischen Aufgaben im Alten- und Pflegeheim, im
Krankenhaus und in der mobilen Pflege eingesetzt werden,
durch den zuverlässigen Schutz vor Viren, Pilzen und
Bakterien bietet er sich auch im infektiösen Umfeld an, AQL-
Wert gemäß EN374 1,5, Farbe hellblau, Größe S, Kategorie
PSA Kategorie III - Irreversible Risiken, Länge 24 cm,
Leistungslevel Chemikalien und Mikroorganismen K P T,
Material Nitril, Norm Chemikalien und Mikroorganismen EN
374 Typ B, Norm Medizinische Einmalhandschuhe EN 455, 1 Box
à 100 Stk, (Krt à 10 Box).",igefa Handelsgesellschaft,https://store.igefa.de/p/sensitive-untersuchungshandschuhe-gr-s/nBbqi4MLUkziq54jpNZboQ,https://media.igefa.de/files/images_idealclean/2232400.jpg,Kolibri,
SENSITIVE Untersuchungshandschuhe,persönliche-schutzausrüstung-(psa)/handschutz/untersuchungshandschuh-und--fingerling/untersuchungshandschuh-unsteril-nitril-puderfrei,Gr.XL,2232403,4024009013201,2232403,"Untersuchungshandschuhe und Einmalschutzhandschuhe aus
Nitril, puderfrei, virenbeständig gemäß EN ISO 374-5,
beständig als Spritzschutz gegen viele verdünnte
Chemikalien, Desinfektionsmittel- und Zytostatika-beständig,
öl- und fettbeständig, sehr hohe Tastsensibilität und
hervorragende Passform, ohne Naturlatex-Proteine (geeignet
für Latexallergiker), für den einmaligen Gebrauch im
hygienischen und medizinischen Bereich, geeignet für
Lebensmittelkontakt, unsteril, puderfrei, fingertexturiert,
beidhändig passend, Rollrand, kann bei zahlreichen
pflegerischen Aufgaben im Alten- und Pflegeheim, im
Krankenhaus und in der mobilen Pflege eingesetzt werden,
durch den zuverlässigen Schutz vor Viren, Pilzen und
Bakterien bietet er sich auch im infektiösen Umfeld an, AQL-
Wert gemäß EN374 1,5, Farbe hellblau, Größe XL, Kategorie
PSA Kategorie III - Irreversible Risiken, Länge 24 cm,
Leistungslevel Chemikalien und Mikroorganismen K P T,
Material Nitril, Norm Chemikalien und Mikroorganismen EN
374 Typ B, Norm Medizinische Einmalhandschuhe EN 455, 1 Box
à 100 Stk, (Krt à 10 Box).",igefa Handelsgesellschaft,https://store.igefa.de/p/sensitive-untersuchungshandschuhe-gr-xl/qiwnuMqbR6TVdvzBbioCuE,https://media.igefa.de/files/images_idealclean/2232403.jpg,Kolibri,
"SENSITIVE Untersuchungshandschuhe, weiss",persönliche-schutzausrüstung-(psa)/handschutz/untersuchungshandschuh-und--fingerling/untersuchungshandschuh-unsteril-nitril-puderfrei,Gr.M,2232405,4024009013379,VG 2134118,"Untersuchungshandschuhe und Einmalschutzhandschuhe aus
Nitrilbutadienkautschuk (NBR), beständig als Spritzschutz
gegen Chemikalien, Reinigungsmittel und Flüssigkeiten,
Desinfektions- und Zytostatika-beständig, öl- und
fettbeständig, hervorragende Tastsensibilität und hoher
Tragekomfort, anschmiegsame Passform, gute Griffigkeit
durch angeraute Fingerkuppen, latexfrei, puderfrei,
unsteril, beidseitig verwendbar, thiuramfrei,
Medizinprodukt gemäß Richtlinie 93/42/EWG (CE Klasse I),
auch geprüft nach ASTM D 6319, Einmalschutzhandschuhe zur
persönlichen Schutzausrüstung gemäß PSA-Verordnung (EU)
2016/425 (CE Kategorie III), Lebensmittelunbedenklich gemäß
VO (EU) Nr. 1935/2004, Virenschutzprüfung gemäß ASTM F 1671,
Farbe weiß, Größe M, Länge 24 cm, 1 Box à 200 Stk, (Krt à
10 Box).",igefa Handelsgesellschaft,https://store.igefa.de/p/sensitive-untersuchungshandschuhe-weiss-gr-m/Dr7HEzCgHBTi74WTRwVpGV,https://media.igefa.de/files/images_idealclean/2232405.jpg,Kolibri,
