product_name,original_data_column_1,original_data_column_2,supplier_article_number,ean,article_number,product_description,supplier,supplier_url,product_image_url,manufacturer,original_data_column_3
CLEAN and CLEVER PROFESSIONAL Pflegeschwamm PRO 61,reinigungshilfen/schwämme/pflegeschwämme/pflegeschwämme,Rot / weiß,2124002,4024009019944,151999,"hochwertiger Pflegeschwamm, aus langlebigem, elastischem
Schaumstoffmaterial mit offenem, weichem Vliespad ohne
Schleifmittel, einfach im Handling durch komfortable
Griffleiste, besonders hygienisch im praktischen 4-
Farbsystem, waschbar bis 60° C, zur schonenden Reinigung
und Pflege aller empfindlichen Oberflächen, universelle
Einsatzmöglichkeit durch das hochwertige,
schleifmittelfreie Vliesmaterial, Breite 7 cm, Farbe rot /
weiß, Länge 15 cm, 1 Packung à 6 Stk, (Krt à 18 Pac).",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-pflegeschwamm-pro-61-rot-weiss/5wx9zxxmYfYRuE3maThDiQ,https://media.igefa.de/files/images_idealclean/2124002.jpg,CLEAN and CLEVER PROFESSIONAL,
"CLEAN and CLEVER PROFESSIONAL Profi-Schwammtuch, klein PRO 65",reinigungshilfen/reinigungstücher---mehrweg/spül--und-schwammtücher/spül--und-schwammtücher,18 cm x 20 cm grün,2137803,4024009027666,131-040-91,"geprüft auf Schadstoffe, Produktklasse 1 (für den Kontakt
mit Babyartikeln geeignet), extrem saugstark, scheuerfest,
langlebig, angenehm weich und dennoch griffig, fusselfrei,
aus umweltfreundlichem Material, da aus natürlich
nachwachsenden Rohstoffen und Holzzellulose aus
nachhaltigem Anbau, palmöl- und plastikfrei (auch keine
Verwendung von Nano- bzw. Mikroplastik), vegan, verrottbar
auf einem haushaltsüblichen Komposter bzw. in der Biotonne,
koch- und waschmaschinenfest bis zu 95 °C, universelles
Nasswischtuch für die effiziente Reinigung, bestens
geeignet für die verschiedensten Anwendungsbereiche in
Restaurants, Bars, Küchen und Sanitärräumen, Breite 18 cm,
Farbe grün, Länge 20 cm, Material 70 % Holzzellulose / 30 %
Baumwolle, Öko-Label OEKO-TEX® STANDARD 100, 1 Packung à 10
Stk, (Krt à 50 Pac).",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-profi-schwammtuch-klein-pro-65-18-cm-x-20-cm-gruen/4F3RojQ9wWy6FPf3JWZJYa,https://media.igefa.de/files/images_idealclean/2137803.jpg,CLEAN and CLEVER PROFESSIONAL,
CLEAN and CLEVER PROFESSIONAL Pflegeschwamm PRO 61,reinigungshilfen/schwämme/pflegeschwämme/pflegeschwämme,Blau / weiß,2124001,4024009019920,151998,"hochwertiger Pflegeschwamm, aus langlebigem, elastischem
Schaumstoffmaterial mit offenem, weichem Vliespad ohne
Schleifmittel, einfach im Handling durch komfortable
Griffleiste, besonders hygienisch im praktischen 4-
Farbsystem, waschbar bis 60° C, zur schonenden Reinigung
und Pflege aller empfindlichen Oberflächen, universelle
Einsatzmöglichkeit durch das hochwertige,
schleifmittelfreie Vliesmaterial, Breite 7 cm, Farbe blau /
weiß, Länge 15 cm, 1 Packung à 6 Stk, (Krt à 18 Pac).",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-pflegeschwamm-pro-61-blau-weiss/VVwbnFQoPjGcND3FDSg2bj,https://media.igefa.de/files/images_idealclean/2124001.jpg,CLEAN and CLEVER PROFESSIONAL,
CLEAN and CLEVER SMART Microfasertuch SMA 62,reinigungshilfen/reinigungstücher---mehrweg/microfasertücher/microfasertücher,Rot,2133819,,MW-017R,CLEAN and CLEVER SMART Microfasertuch SMA 62 ist besonders geeignet für die tägliche Unterhaltsreinigung glatter Oberflächen.,igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-microfasertuch-sma-62-rot/asRnnCoGwTHQ7nMiJs8Jw7,https://media.igefa.de/files/images_idealclean/2133819.jpg,CLEAN and CLEVER SMART,lange haltbar; universell einsetzbar; strapazierfähig & saugstark; reinigt gründlich & streifenfrei; gutes Schmutzaufnahmevermögen durch feine Microfasern
"CLEAN and CLEVER PROFESSIONAL Profi-Schwammtuch, klein PRO 65",reinigungshilfen/reinigungstücher---mehrweg/spül--und-schwammtücher/spül--und-schwammtücher,18 cm x 20 cm blau,2137802,4024009027635,131-040-90,"geprüft auf Schadstoffe, Produktklasse 1 (für den Kontakt
mit Babyartikeln geeignet), extrem saugstark, scheuerfest,
langlebig, angenehm weich und dennoch griffig, fusselfrei,
aus umweltfreundlichem Material, da aus natürlich
nachwachsenden Rohstoffen und Holzzellulose aus
nachhaltigem Anbau, palmöl- und plastikfrei (auch keine
Verwendung von Nano- bzw. Mikroplastik), vegan, verrottbar
auf einem haushaltsüblichen Komposter bzw. in der Biotonne,
koch- und waschmaschinenfest bis zu 95 °C, universelles
Nasswischtuch für die effiziente Reinigung, bestens
geeignet für die verschiedensten Anwendungsbereiche in
Restaurants, Bars, Küchen und Sanitärräumen, Breite 18 cm,
Farbe blau, Länge 20 cm, Material 70 % Holzzellulose / 30 %
Baumwolle, Öko-Label OEKO-TEX® STANDARD 100, 1 Packung à 10
Stk, (Krt à 50 Pac).",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-profi-schwammtuch-klein-pro-65-18-cm-x-20-cm-blau/gkuKJfChUb4fQvPdKmgis6,https://media.igefa.de/files/images_idealclean/2137802.jpg,CLEAN and CLEVER PROFESSIONAL,
CLEAN and CLEVER SMART Microfasertuch SMA 62,reinigungshilfen/reinigungstücher---mehrweg/microfasertücher/microfasertücher,Gelb,2133821,,MW-017Y,CLEAN and CLEVER SMART Microfasertuch SMA 62 ist besonders geeignet für die tägliche Unterhaltsreinigung glatter Oberflächen.,igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-microfasertuch-sma-62-gelb/AUeCwstC7xdSYSBRJvEEGN,https://media.igefa.de/files/images_idealclean/2133821.jpg,CLEAN and CLEVER SMART,lange haltbar; universell einsetzbar; strapazierfähig & saugstark; reinigt gründlich & streifenfrei; gutes Schmutzaufnahmevermögen durch feine Microfasern
CLEAN and CLEVER SMART Microfasertuch SMA 62,reinigungshilfen/reinigungstücher---mehrweg/microfasertücher/microfasertücher,Grün,2133822,,MW-017G,,igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-microfasertuch-sma-62-gruen/7gG9NR4kpB8Vgas3ek4MYi,https://media.igefa.de/files/images_idealclean/2133822.jpg,CLEAN and CLEVER SMART,lange haltbar; kochfest bis 95° C; reinigt gründlich & streifenfrei; gutes Schmutzaufnahmevermögen; Material - 85% Polyester / 15% Polyamid
Meiko Vlies-Scheuertuch Effekt fk 250,reinigungshilfen/reinigungstücher---mehrweg/bodenreinigungstücher/bodenreinigungstücher,60 cm,2158051,,SET00285,"Das Meiko Scheuertuch Effect reinigt mit dem Maß von 50 x 60 cm effektiv verschmutzte Böden. Mit dem Effect Scheuertuch werden Böden in Veranstaltungsräumen, Küchen und Industriebereichen effizient gereinigt. Das Bodentuch von Meiko hat einen hohen
Baumwoll- und Viskoseanteil und ist für die leistungsfähige Nass- und Feuchtreinigung konzipiert.",igefa Handelsgesellschaft,https://store.igefa.de/p/meiko-vlies-scheuertuch-effekt-fk-250-60-cm/5RkYVbBe4rHgQBdCPqZBa6,https://media.igefa.de/files/images/2158051.jpg,Diverse Hersteller,2-seitig gesäumt; Faservlies rohweiß; vielseitig einsetzbar; aus regenerierten Rohstoffen; für den alltäglichen Gebrauch; feste Kante an den Längsseiten
Tana Foamhead QUICK&EASY,reinigungshilfen/dosiersysteme/dosierflaschen/--pistolen/--pumpen/--hähne/dosierflaschen/--pistolen/--pumpen/--hähne,inkl. leere Wasserkartusche,2148213,4031278940695,0714069,"Schaumsprühkopf für Quick & Easy System, besitzt eine
Schaumausbringung, neue gesteigerte Qualität
(Belastbarkeit) des Sprühkopfes, Dosierung findet in der
Konzentratflasche statt, nicht kompatibel mit alten Quick &
Easy Produkten, Schaumsprühkopf, eine leere Wasserkartusche,
1 Stück.",igefa Handelsgesellschaft,https://store.igefa.de/p/tana-foamhead-quick-easy-inkl-leere-wasserkartusche/w4vRKUNAehvZmzPFSHR7qe,https://media.igefa.de/files/images_idealclean/2148213.jpg,Tana,
Tork Tork Extra Starke Reinigungstücher,reinigungshilfen/reinigungstücher---einweg/putz-/-wischtücher---einzeltücher/putz-/-wischtücher---einzeltücher,"Weiß 41,5",2209205,7322541183008,530179,"Premium perforiert, exelCLEAN® Technologie - für raschere
professionelle Reinigungsergebnisse, starke Struktur
ermöglicht eine ausgezeichnete Öl- und Wasseraufnahme, Tork
Easy Handling - ermöglicht ein leichteres Tragen, Öffnen
und Entsorgen der Verpackungen, silikonfreie Tücher, es
bleiben auf der Oberfläche keine Rückstände zurück, ISEGA-
Zertifikat, äußerst saugfähig, dick und strapazierfähig
sind, halten sie auch festem Reiben stand, ohne zu reißen,
für unterschiedlichste Reinigungsarbeiten gleich ob in
Industrie, Werkstatt, Küche oder Labor, passen in den Tork
Einzeltuchspender, der Nachfüllpackungen vor Schmutz
schützt und den Verbrauch dank Einzelblattentnahme deutlich
senkt, für W4 Einzeltuch System, Breite 35,5 cm, Farbe weiß,
1-lagig, Länge 41,5, 1 Karton à 4 x 105 Tu.",igefa Handelsgesellschaft,https://store.igefa.de/p/tork-tork-extra-starke-reinigungstuecher-weiss-41-5/N3EAUNKXqixxhwLzh3UqnM,https://media.igefa.de/files/images_idealclean/2209205.jpg,Tork,
