product_name,original_data_column_1,original_data_column_2,supplier_article_number,ean,article_number,product_description,supplier,supplier_url,product_image_url,manufacturer,original_data_column_3
emco Sauberlauf SL400,"spezialanwendungen/schmutzfangmatten-/-sicherheitsbodenbeläge/schutzfangmatten,-textil/schutzfangmatten,-textil",60 cm x 90 cm,2112396,4042691004611,896001,"Schmutzfangmatte, dezente Dessinierung, bewährt
tuftgemustert, ist somit ein wirksamer Sicherheitsfaktor,
nachweislich werden die Reinigungskosten durch einen
Sauberlauf drastisch gesenkt, ein Sauberlauf ist auch ein
unverzichtbares Design-Element, für den Objekt- und
Wohnbereich, ein Sauberlauf nimmt ca. 65 % des Schmutzes
und ca. 90 % der Feuchtigkeit auf, der tägliche Aufwand für
Unterhaltsreinigung wird erheblich reduziert (über 50%
weniger Zeitaufwand), hohe Schmutz- (ca. 5 kg/m²) und
Feuchtigkeitsaufnahme (ca. 5 l/m²), nach DIN 61 151
tuftgemustert, Breite 60 cm, Farbe anthrazit,
Herstellungsart Tufting-Velours 5/32’’, Höhe 6 mm, Länge 90
cm, Material der Nutzschicht 100 % Polyamid (6), Noppenzahl
ca. 63.000/m², Rückenausstattung Schwerbeschichtung,
Trägermaterial 100 % Polyester (Vlies Colback), 1 Stück,
(Krt à 6 Stk).",igefa Handelsgesellschaft,https://store.igefa.de/p/emco-sauberlauf-sl400-60-cm-x-90-cm-schmutzfangmatte/f3ojqbDGvGJZZxRPc4sB2c,https://media.igefa.de/files/images_idealclean/2112396.jpg,emco Bautechnik,
Nölle Profi Brush Vielzweckbügel 3er-Pack,spezialanwendungen/wäscherei--/-chemische-reinigungszubehör/transport/-verpackung/bügel,mit Steg,2024758,4250560561732,8445005,"mit Steg und Rockhäkchen, modernes Design, 3er Pack, Breite
43 cm, Farbe silberfarbend, Material Kunststoff, 1 Packung,
(Krt à 10 Pac).",igefa Handelsgesellschaft,https://store.igefa.de/p/noelle-profi-brush-vielzweckbuegel-3er-pack-mit-steg/URBtiTFrDrTdoKHpTrs8Km,https://media.igefa.de/files/images_idealclean/2024758.jpg,Nölle Profi-Brush,
RobbyRob Scheibenfrostschutz für Wischanlagen -60° C,spezialanwendungen/kfz-bedarf/kfz-frostschutz/kfz-frostschutz,Scheibenfrostschutz 5l (3),2049343,4001068703564,6150000000,"schafft klare Sicht und Sicherheit im Sommer und im Winter
bis -60° C, biologisch abbaubar, waschaktive Substanzen,
mit Intensivreiniger, frostschutzgeprüft nach ASTM, 1
Kanister à 5 Ltr, (Krt à 3 Kan).",igefa Handelsgesellschaft,https://store.igefa.de/p/robbyrob-scheibenfrostschutz-fuer-wischanlagen-60-c-scheibenfrostschutz-5l-3/x4MfL8jwUcKsQb7MFyhywk,https://media.igefa.de/files/images_idealclean/2049343.jpg,Walter Schmidt,
Varta Industrial Alkaline Batterien,"spezialanwendungen/papier,-bürobedarf,-schreibwaren/geschäftsausstattung/geschäftsausstattung","Baugrösse (Typ) Mignon AA AM3 1,5 V",2108863,4008496356560,9132,"Umweltfeundliche Haushaltsbatterie (Marke Varta) - Typ
Alkaline, mit verbesserter Leistung, sehr lange Lebensdauer,
CCG-Klassifikation 3821, versorgt optimal energiehungrige
Anwendungen, wie z. B. tragbare Radiorekorder, Walkmen oder
Gameboy, geeignet für Kundenkreise wie u.a. Öffentliche
Einrichtungen, Feuerwehr und Polizei sowie
Einkaufsgesellschaften aus der Gesundheitsbranche, Modell
Baugrösse (Typ) Mignon AA AM3, Spannung 1,5 V, 1 Box à 10 x
4 Stk, (Krt à 10 Box).",igefa Handelsgesellschaft,https://store.igefa.de/p/varta-industrial-alkaline-batterien-baugroesse-typ-mignon-aa-am3-1-5-v/QQRGdiXPYam2RcEpZL2uim,https://media.igefa.de/files/images_idealclean/2108863.jpg,Diverse Hersteller,
Varta Industrial Alkaline Batterien,"spezialanwendungen/papier,-bürobedarf,-schreibwaren/geschäftsausstattung/geschäftsausstattung","Baugrösse (Typ) Micro AAA AM4 1,5 V",2108860,4008496356669,9131,"Umweltfeundliche Haushaltsbatterie (Marke Varta) - Typ
Alkaline, mit verbesserter Leistung, sehr lange Lebensdauer,
CCG-Klassifikation 3821, versorgt optimal energiehungrige
Anwendungen, wie z. B. tragbare Radiorekorder, Walkmen oder
Gameboy, geeignet für Kundenkreise wie u.a. Öffentliche
Einrichtungen, Feuerwehr und Polizei sowie
Einkaufsgesellschaften aus der Gesundheitsbranche, Modell
Baugrösse (Typ) Micro AAA AM4, Spannung 1,5 V, 1 Packung à
10 Stk, (Krt à 70 Pac).",igefa Handelsgesellschaft,https://store.igefa.de/p/varta-industrial-alkaline-batterien-baugroesse-typ-micro-aaa-am4-1-5-v/3DXciTdxdzbxfrJtuXNcPm,https://media.igefa.de/files/images_idealclean/2108860.jpg,Diverse Hersteller,
Esco Stein-Auftausalz,spezialanwendungen/winterdienst/streusalz/streusalz,Esco Stein-Auftausalz 25kg,2081363,4003885134101,51395,"dient als Streusalz der Beseitigung von Schnee- und
Eisglätte und ist für den öffentlichen und privaten Einsatz
geeignet, besonders wirksame Mischung aus feinen und groben
Salzkristallen, entsprechend der geltenden Richtlinien, die
feinen Kristalle sorgen für eine sofort einsetzende
Tauwirkung, die gröberen Kristalle garantieren die
erforderliche Langzeitwirkung bei dickeren Eis- und
Schneeschichten, hoher Anteil tauwirksamer Substanz,
optimales Körnungsspektrum, Löslichkeit zu fast 100 %,
dauerhaft lagerfähig, 1 Sack à 25 kg.",igefa Handelsgesellschaft,https://store.igefa.de/p/esco-stein-auftausalz-esco-stein-auftausalz-25kg/Tqnzd6grDAnNSJ34ozzF9H,https://media.igefa.de/files/images_idealclean/2081363.jpg,Diverse Hersteller,
Thermorolle 80/80,"spezialanwendungen/papier,-bürobedarf,-schreibwaren/büromaschinen-und-zubehör/büromaschinen-und-zubehör",Schichtseite außen,2064236,,09052003,"Bonrolle / Kassenbonrolle, für IBM: 4610 SureMark, Indatec:
TD 4 / TD 4 PLUS, Multi-Data: ELLIX 20, NCR: 2170 (thermo)
/ RealPOS 7167 / RealPOS 7194 / RealPOS 7197 / RealPOS 80,
Olivetti: OST 10, Samsung: SRP 300 / SRP 350 / SRP 350 plus,
Serd: ECR 396 F / ECR 949 / TH 200 / TH 80, Sewoo: WTP 100
/ WTP 150, Sharp: UP 3300 / UP 5300 / UP 5350, Star: TSP
100 / TSP 1045 / TSP 1045 LAN / TSP 1045 USB / TSP 113 /
TSP 113 GT / TSP 113 LAN / TSP 113 USB / TSP 143 / TSP 143
GT / TSP 143 LAN, Star: TSP 143 USB / TSP 200 / TSP 2000 /
TSP 400 / TSP 400 Z / TSP 412 / TSP 442 ZD V24 / TSP 600 /
TSP 643 / TSP 651 / TSP 654 / TSP 654 USB, Star: TSP 700 /
TSP 743 / TSP 743 LAN / TSP 743 USB / TSP 800, TEC: TRST-53
/ TRST-56, Wincor-Nixdorf: TH 230 / TH 320 / TH 420, Papier
hergestellt ohne Verwendung von Bisphenol-A,
Thermoschichtseite außen, für Axiohm: A 715 / A 716 / A 756
/ A 758 / A 793 / A 794 / APOS / ASTRIUM / AX 7156 / AX
7193 / TELESTO, Bixolon: SRP 350 / SRP 350plus / SRP 370 /
SRP 372 / STP 131, Casio: QT 2000 B / QT 6100 / QT 8000 /
QT 8100 / UP 350 / UP 360, Citizen:CBM 1000 / CBM 1000 II/
CBM 230 / CBM 231/ CBM 291/ CT S300/ CT S310/ IDP 3210/ IDP
3221/ IDP 3240/ PHU 131/ PHU 331/ PPU 231/ PPU 700, Custom:
Kube ETH / Kube ETH X / Kube F / Kube Lottery / Kube P /
Kube S / Kube USB / Kube X / Smice / Smice PS X, Data-
Techno: DT 560, Epson: 128 A/ 128 B/ 128 C/ 129 A/ 129 B/
129 C/ EU-T 332/ EU-T 432/ EU-T 532/ TM-H 5000/ TM-H 5000
II/ TM-H 6000/ TM-H 6000 II/ TM-H 6000 III, Epson: TM-L 90
/ TM-T 5000 / TM-T 70 / TM-T 80 / TM-T 85 / TM-T 88 / TM-T
88 II / TM-T 88 III / TM-T 88 IV / TM-T 90, Breite 80 mm,
Durchmesser aussen 80 mm, Farbe weiß, Länge 80 m, 1 Packung
à 5 Rll, (Krt à 10 Pac).",igefa Handelsgesellschaft,https://store.igefa.de/p/thermorolle-80-80-schichtseite-aussen/Ju9eH3UF22Uu4jgVMidhdb,https://media.igefa.de/files/images_idealclean/2064236.jpg,Diverse Hersteller,
PVC Klebeband,spezialanwendungen/wäscherei--/-chemische-reinigungszubehör/transport/-verpackung/klebeband-und-abroller,Rot,2132292,4025648735158,8400,"Verpackungsband, zum Verschließen von Beuteln, optional in
Verbindung mit praktischem Beutelschließer, 1 Rolle reicht
für ca. 1100 Verschlüsse, Breite 9 mm, Farbe rot, Länge 66
m, Material PVC (Polyvinylchlorid), 1 Rolle, (Krt à 12 x 16
Rll).",igefa Handelsgesellschaft,https://store.igefa.de/p/pvc-klebeband-rot-verpackungsband/JLcswBtrzV63YBfNiZ3jQP,https://media.igefa.de/files/images_idealclean/2132292.jpg,Diverse Hersteller,
Nölle Profi Brush Malerplane extra stark,spezialanwendungen/wäscherei--/-chemische-reinigungszubehör/transport/-verpackung/verpackungsmaterial,"Abdeckplane/ Malerplane 4 m x 12,5 m 30my stark transparent",1844001,4250560508294,729900,"Abdeckplane, opitmaler Schutz bei allen Maler-, Handwerker-
und Renovierungsarbeiten, einzeln im Polybeutel verpackt,
Breite 4 m, Farbe transparent, Folienstärke 30 my, Länge
12,5 m, 1 Stück, (Krt à 5 Stk).",igefa Handelsgesellschaft,https://store.igefa.de/p/noelle-profi-brush-malerplane-extra-stark-abdeckplane-malerplane-4-m-x-12-5-m-30my-stark-transparent/tN23rnSyqaiTdpVvnEBvVP,https://media.igefa.de/files/images_idealclean/1844001.jpg,Nölle Profi-Brush,
"Wäschenetze, klein",spezialanwendungen/wäscherei--/-chemische-reinigungszubehör/transport/-verpackung/wäschenetze/zubehör,Rot,2040609,4000516051820,10200563,"waschmaschinenfest bis 95° C, praktischer Tanka-
Schnellverschluss, Breite 40 cm, Farbe rot, Länge 51 cm, 1
Stück.",igefa Handelsgesellschaft,https://store.igefa.de/p/waeschenetze-klein-rot/z6AGsgBo6VrJN9jDUJoVUb,https://media.igefa.de/files/images_idealclean/2040609.jpg,Ecolab,
