product_name,original_data_column_1,original_data_column_2,supplier_article_number,ean,article_number,product_description,supplier,supplier_url,product_image_url,manufacturer,original_data_column_3
HydroVital Classic Duschbad,waschraum-hygiene/hand--und-körperhygiene/haut--und-haarreinigung/haut--und-haarreinigung,HydroVital Classic Duschbad 750 ml Eine erfrischende Reinigung für jeden Tag 750 ml,2157990,4024009029783,94114,,igefa Handelsgesellschaft,https://store.igefa.de/p/hydrovital-classic-duschbad-hydrovital-classic-duschbad-750-ml-eine-erfrischende-reinigung-fuer-jeden-tag-750-ml/GjkRNJpcCNDvE5CrzG2uwn,https://media.igefa.de/files/images_idealclean/2157990.jpg,HydroVital Classic,mild & pflegend; für ein wohltuendes Badeerlebnis; mit angenehmem Meeresfrischeduft; sorgt für ein spürbar angenehmes Hautgefühl
HydroVital Classic Rasierschaum,waschraum-hygiene/hand--und-körperhygiene/rasierartikel/rasierartikel,HydroVital Classic 200ml Rasierschaum Aloe Vera,2114201,4024009022616,94105,"Milder, cremiger Rasierschaum von HydroVita für die tägliche Rasur.
Dank des Aloe Vera Extraktes und dem Vitamin E, besitzt der Rasierschaum ein angenehmen Duft und hinterlässt ein samtiges Gefühl auf der Haut.",igefa Handelsgesellschaft,https://store.igefa.de/p/hydrovital-classic-rasierschaum-hydrovital-classic-200ml-rasierschaum-aloe-vera/gAzEsndExLQDD67fetN2iS,https://media.igefa.de/files/images_idealclean/2114201.jpg,HydroVital Classic,
CLEAN and CLEVER SMART Kosmetiktuch SMA 67,waschraum-hygiene/kosmetiktücher/--spenderboxen/kosmetiktücher/--spenderboxen/kosmetiktücher/--spenderboxen,SMA67 Kosmetiktuch 21x21cm 2lg,2146100,4024009030413,205681,"angenehm weiche und saugstarke Kosmetiktücher, aus
hochwertigem Zellstoff, fusselfrei und reißfest, in
praktischer Box mit ansprechendem Design, Tücher einzeln
entnehmbar, Breite Blatt 21 cm, Farbe hochweiß, 2-lagig,
Länge Blatt 21 cm, Material 100 % Zellstoff, Öko-Label FSC®,
1 Karton à 40 x 100 Tu.",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-kosmetiktuch-sma-67-sma67-kosmetiktuch-21x21cm-2lg/bmC6fGUsXUgNxuUmxjCPbJ,https://media.igefa.de/files/images_idealclean/2146100.jpg,CLEAN and CLEVER SMART,
HydroVital Classic Zahncreme,waschraum-hygiene/hand--und-körperhygiene/mund--und-zahnpflege/mund--und-zahnpflege,HydroVital Classic Zahncreme 100 ml Zum Schutz vor Karies & Paradontose 100 ml,2092157,4024009008733,94108,,igefa Handelsgesellschaft,https://store.igefa.de/p/hydrovital-classic-zahncreme-hydrovital-classic-zahncreme-100-ml-zum-schutz-vor-karies-paradontose-100-ml/vMRRT5dKHjmaTyRRyE3U4b,https://media.igefa.de/files/images_idealclean/2092157.jpg,HydroVital Classic,reinigt gründlich die Zähne; für die tägliche Mundhygiene; Fluorid schützt den Zahnschmelz; entfernt schonend den Zahnbelag; sorgt für einen frischen & angenehmen Atem
CLEAN and CLEVER SMART Seifencrème rosé SMA 91-3,waschraum-hygiene/hand--und-körperhygiene/handseife-flüssig/handseife-flüssig,für Ingo-Man/Eurospender 500ml,2117582,4024009026089,2117582,"CLEAN and CLEVER SMART Seifencreme rose SMA 91-3 ist besonders für den Einsatz in Waschräumen jeder Art (Gastronomie & Hotellerie, Bahnhöfen, Schulen etc.) geeignet.",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-seifencr-me-ros-sma-91-3-fuer-ingo-man-eurospender-500ml/xKLpgUNM5idvr7rELq2Tzd,https://media.igefa.de/files/images_idealclean/2117582.jpg,CLEAN and CLEVER SMART,alkali- & silikonfrei; angenehm dezente Duftnote; mit rückfettenden Eigenschaften; Hautverträglichkeit dermatologisch bestätigt; dem natürlichen pH-Wert der Haut angepasst
CLEAN and CLEVER SMART Toilettenpapier SMA 101,waschraum-hygiene/toilettenpapier/--spender/kleinrollen-toilettenpapier/kleinrollen-toilettenpapier,Toilettenpapier Recycling,2173701,4024009032660,P32660,"Kleinrollen-Toilettenpapier, weich und sehr reißfest,
perforiert, geprägt, Verpackungsfolie Einzelpaket aus mind.
60 % Rezyklat, Abrisse 250, Breite Blatt 9,45 cm, Farbe
weiß, 3-lagig, Länge Blatt 11,0 cm, Material 100 %
Recycling, Öko-Label Blauer Engel, EU Ecolabel (Euro-Blume),
1 Paket à 8 x 8 Rll.",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-toilettenpapier-sma-101-toilettenpapier-recycling/iFEqFKetvrPescnGMbNtEP,https://media.igefa.de/files/images_idealclean/2173701.jpg,CLEAN and CLEVER SMART,
CLEAN and CLEVER SMART Toilettenpapier SMA 103,waschraum-hygiene/toilettenpapier/--spender/kleinrollen-toilettenpapier/kleinrollen-toilettenpapier,SMA103 Topa weiß 2lg,2173704,4024009032639,P32639,"Kleinrollen-Toilettenpapier, weich und reißfest, perforiert, geprägt,
Verpackungsfolie Einzelpaket aus mind. 60 % Rezyklat, Abrisse 400, Farbe weiß,
2-lagig, Material 100 % Recycling, Öko-Label Blauer Engel, EU Ecolabel
(Euro-Blume), Länge Blatt 11,0 cm, Breite Blatt 9,45 cm, 1 Paket à 6 x 8 Rll.",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-toilettenpapier-sma-103-sma103-topa-weiss-2lg/s28zwikxHiACt86Q29hDiR,https://media.igefa.de/files/images_idealclean/2173704.jpg,CLEAN and CLEVER SMART,
CLEAN and CLEVER PROFESSIONAL Falthandtuch PRO 203,waschraum-hygiene/handtuchpapier/---spender/format-handtuchpapier/format-handtuchpapier,V-Falz 20x200Tü Zellstoff,2173710,4024009033599,P33599,"besonders weiches Papier-Falthandtuch in V-Falz, zur
sanften und hygienischen Händetrocknung, aus hochwertigem
Zellstoff, besonders weich, sehr saugfähig und reißfest, in
praktischer Folienverpackung mit komfortablem Tragegriff,
Verpackungsfolie mind. 60% Rezyklat, Breite Blatt 22,4 cm,
Farbe hochweiß, 2-lagig, Länge Blatt 23,0 cm, Material 100
% Zellstoff, Öko-Label EU Ecolabel (Euro-Blume), PEFC™, 1
Paket à 20 x 200 Tu.",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-falthandtuch-pro-203-v-falz-20x200tue-zellstoff/B6LWVPipFRmWni7XzKJvxi,https://media.igefa.de/files/images_idealclean/2173710.jpg,CLEAN and CLEVER PROFESSIONAL,
HydroVital Premium Reinigungsschaum,waschraum-hygiene/hand--und-körperhygiene/haut--und-haarreinigung/haut--und-haarreinigung,HydroVital Premium Reinigungsschaum 400 ml Bestens für stark beanspruchte Haut geeignet 400 ml,2101606,4024009022883,45855,,igefa Handelsgesellschaft,https://store.igefa.de/p/hydrovital-premium-reinigungsschaum-hydrovital-premium-reinigungsschaum-400-ml-bestens-fuer-stark-beanspruchte-haut-geeignet-400-ml/hhMDV85MSmZxZPXPt7Ssy9,https://media.igefa.de/files/images_idealclean/2101606.jpg,HydroVital Premium,"hautneutrale Schaumemulsion
· mit Sheabutter, Aloe vera, Panthenol; zur schonend-sanften, wasserfreien Reinigung & Pflege; ohne PEG, Silikone, Parabene & synthetische Farbstoffe"
CLEAN and CLEVER PROFESSIONAL Taschentuch PRO 69,waschraum-hygiene/hand--und-körperhygiene/taschentücher/taschentücher,Zellstoff hochweiß,2173714,4024009033490,418522,Die Taschentücher PRO 69 sind für beanspruchte Nasen hervorragend geeignet.,igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-taschentuch-pro-69-zellstoff-hochweiss/WFJNWQETmapqGx2BudQF7B,https://media.igefa.de/files/images_idealclean/2173714.jpg,CLEAN and CLEVER PROFESSIONAL,"hautfreundlich; samt & supersoft; Material: 100% Zellstoff; durch 4 Lagen besonders saugfähig & reißfest; verpackt in praktischer, wiederverschließbarer Tasche"
CLEAN and CLEVER PROFESSIONAL Kosmetiktuch PRO 67,waschraum-hygiene/kosmetiktücher/--spenderboxen/kosmetiktücher/--spenderboxen/kosmetiktücher/--spenderboxen,"Würfelbox Zellstoff 20,8x21cm",2173713,4024009026294,210971,"samtweiches und saugfähiges Premium-Kosmetiktuch in
moderner Würfelbox, aus hochwertigem Zellstoff, fusselfrei,
besonders reißfest und angenehm soft, Tücher einzeln
entnehmbar, Breite Blatt 20,8 cm, 3-lagig, Länge Blatt 21,0
cm, Material 100 % Zellstoff, Öko-Label FSC®, 1 Karton à 30
x 60 Tu.",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-kosmetiktuch-pro-67-wuerfelbox-zellstoff-20-8x21cm/2tZ6unju4KndQKNCnDVCJF,https://media.igefa.de/files/images_idealclean/2173713.jpg,CLEAN and CLEVER PROFESSIONAL,
CLEAN and CLEVER SMART Toilettenpapier SMA 100,waschraum-hygiene/toilettenpapier/--spender/kleinrollen-toilettenpapier/kleinrollen-toilettenpapier,SMA100 Topa weiß 2lg,2232081,4024009004728,P4728,"Kleinrollen-Toilettenpapier, weich und reißfest, perforiert,
geprägt, Verpackungsfolie Einzelpaket aus mind. 60 %
Rezyklat, Abrisse 250, Breite Blatt 9,5 cm, Farbe weiß, 2-
lagig, Länge Blatt 11 cm, Material 100 % Recycling, Öko-
Label EU Ecolabel (Euro-Blume), Blauer Engel, 1 Paket à 8 x
8 Rll.",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-toilettenpapier-sma-100-sma100-topa-weiss-2lg/YCaV4p5r6wYSyArMCCwxQc,https://media.igefa.de/files/images_idealclean/2232081.jpg,CLEAN and CLEVER SMART,
HydroVital Classic Duschgel & Shampoo 2in1,waschraum-hygiene/hand--und-körperhygiene/haut--und-haarreinigung/haut--und-haarreinigung,HydroVital Classic Duschgel & Shampoo 200 ml Eine erfrischende Reinigung für jeden Tag 200 ml,2157970,4024009031793,94113,"mildes Duschgel zur täglichen Reinigung, Duschgel und
Shampoo in einem Produkt, spendet Feuchtigkeit, 1 Flasche à
200 ml, (Krt à 24 Fla).",igefa Handelsgesellschaft,https://store.igefa.de/p/hydrovital-classic-duschgel-shampoo-2in1-hydrovital-classic-duschgel-shampoo-200-ml-eine-erfrischende-reinigung-fuer-jeden-tag-200-ml/HXbXvkCKrxfxf3yv95FhpR,https://media.igefa.de/files/images_idealclean/2157970.jpg,HydroVital Classic,
CLEAN and CLEVER PROFESSIONAL Toilettenpapier PRO 104,waschraum-hygiene/toilettenpapier/--spender/kleinrollen-toilettenpapier/kleinrollen-toilettenpapier,PRO104 Topa hochweiß 4lg,2173703,4024009033483,411111,"Kleinrollen-Toilettenpapier, extra weich und besonders
reißfest, für den gehobenen Anspruch, perforiert, geprägt,
Abrisse 150, Breite Blatt 9,7 cm, Farbe hochweiß, 4-lagig,
Länge Blatt 12,5 cm, Material 100 % Zellstoff, Öko-Label EU
Ecolabel (Euro-Blume), PEFC™, 1 Paket à 9 x 8 Rll.",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-toilettenpapier-pro-104-pro104-topa-hochweiss-4lg/sUNrYWELX3MTs6grqnfQyK,https://media.igefa.de/files/images_idealclean/2173703.jpg,CLEAN and CLEVER PROFESSIONAL,
CLEAN and CLEVER SMART Falthandtuchpapier SMA 201,waschraum-hygiene/handtuchpapier/---spender/format-handtuchpapier/format-handtuchpapier,C-Falz 20x144Tü Recycling,2173708,4024009032608,C2C230.288000,"weiches Papier-Falthandtuch in Lagenfalz, zur angenehmen
und hygienischen Händetrocknung, saugstark und reißfest,
Breite Blatt 23 cm, Falzung C-Falz, Farbe weiß, 2-lagig,
Länge Blatt 31 cm, Material 100 % Recycling, Öko-Label
Blauer Engel, EU Ecolabel (Euro-Blume), 1 Karton à 20 x 144
Tu.",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-falthandtuchpapier-sma-201-c-falz-20x144tue-recycling/fVgaPHSZ4ZNURYynPovyJZ,https://media.igefa.de/files/images_idealclean/2173708.jpg,CLEAN and CLEVER SMART,
CLEAN and CLEVER SMART Hygienebeutel SMA 70,waschraum-hygiene/hygienebeutel/--spender/hygienebeutel/--spender/hygienebeutel/--spender,SMA70 Hygienebeutel aus Papier,1670202,4024009006401,12329-gefädelt,,igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-hygienebeutel-sma-70-sma70-hygienebeutel-aus-papier/63eMgRziWE56kuD6eYkWk5,https://media.igefa.de/files/images_idealclean/1670202.jpg,CLEAN and CLEVER SMART,aus gebleichtem Natronpapier; weiß mit Aufdruck (16-sprachig); für die Verwendung in Damentoiletten; mit praktischem Band zum aufhängen (gefädelt)
HydroVital Classic Körperlotion O/W,waschraum-hygiene/hand--und-körperhygiene/hautpflege/hautpflege,HydroVital Classic Körperlotion 200 ml Eine schonende Pflege für jeden Tag 200 ml,2092151,4024009008672,94104,Aloe Vera Extrat spendet wertvolle Feuchtigkeit und hinterlässt ein spürbar frisches und geschmeidiges Haugefühl.,igefa Handelsgesellschaft,https://store.igefa.de/p/hydrovital-classic-koerperlotion-o-w-hydrovital-classic-koerperlotion-200-ml-eine-schonende-pflege-fuer-jeden-tag-200-ml/wpvMkVfrxKKsRkUMvd5zm7,https://media.igefa.de/files/images_idealclean/2092151.jpg,HydroVital Classic,"zieht schnell ein; sanfte Feuchtigkeitspflege; für trockene, spröde & raue Hat; hinterlässt frisches & geschmeidiges Hautgefühl"
CLEAN and CLEVER PROFESSIONAL Seifencrème classic PRO 92-8,waschraum-hygiene/hand--und-körperhygiene/handseife-flüssig/handseife-flüssig,perlmuttweiß,2117579,4024009026188,2117579,"CLEAN and CLEVER PROFESSIONAL Seifencreme classic PRO 92-8 ist für den Einsatz in Waschräumen jeder Art, z. B. in Gastronomie und Hotellerie, Bahnhöfen, Schulen etc. geeignet.",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-seifencr-me-classic-pro-92-8-perlmuttweiss/asQBz9ZEqZbSpQKHqY6ivS,https://media.igefa.de/files/images_idealclean/2117579.jpg,CLEAN and CLEVER PROFESSIONAL,"alkali- & silikonfrei; angenehm schäumend; ausgezeichnete Waschkraft; gutes Schmutzlösevermögen; milde, hochwertige Waschlotion; frei von organisch gebundenen Halogenen; Hautverträglichkeit dermatologisch bestätigt; dem natürlichen pH-Wert der Haut angepasst; mit ausgewählten pflegenden Hautschutzkomponenten"
CLEAN and CLEVER SMART Seifencrème rosé SMA 91-10,waschraum-hygiene/hand--und-körperhygiene/handseife-flüssig/handseife-flüssig,CLEAN and CLEVER SMART Seifencreme rose SMA 91-10 Hochwertige Waschlotion zur schonenden Handreinigung 10 Liter,2117588,4024009026140,2117588,"CLEAN and CLEVER SMART Seifencreme rose SMA 91-10 ist besonders für den Einsatz in Waschräumen jeder Art (Gastronomie & Hotellerie, Bahnhöfen, Schulen etc.) geeignet.",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-seifencr-me-ros-sma-91-10-clean-and-clever-smartline-seifencreme-rose-sma-91-10-hochwertige-waschlotion-zur-schonenden-handreinigung-10-liter/gfBqYBQJhd83QbV33LoXeB,https://media.igefa.de/files/images_idealclean/2117588.jpg,CLEAN and CLEVER SMART,alkali- & silikonfrei; angenehm dezente Duftnote; mit rückfettenden Eigenschaften; Hautverträglichkeit dermatologisch bestätigt; dem natürlichen pH-Wert der Haut angepasst
